ta_number,drug_name,title,published_date,recommendation,guidance_url
94,statins,Statins for the prevention of cardiovascular events,25 January 2006,,https://www.nice.org.uk/guidance/ta94
136,structural neuroimaging in first-episode psychosis,Structural neuroimaging in first-episode psychosis,27 February 2008,,https://www.nice.org.uk/guidance/ta136
923,tabelecleucel,Tabelecleucel for treating post-transplant lymphoproliferative disorder caused by the Epstein-Barr virus (terminated appraisal),19 October 2023,,https://www.nice.org.uk/guidance/ta923
6,taxanes,Taxanes for the treatment of breast cancer,26 June 2000,,https://www.nice.org.uk/guidance/ta6
30,taxanes,Taxanes for the treatment of breast cancer,26 September 2001,,https://www.nice.org.uk/guidance/ta30
869,teclistamab,Teclistamab for treating relapsed or refractory multiple myeloma after 3 or more therapies (terminated appraisal),16 February 2023,,https://www.nice.org.uk/guidance/ta869
252,telaprevir,Telaprevir for the treatment of genotype 1 chronic hepatitis C,25 April 2012,,https://www.nice.org.uk/guidance/ta252
154,telbivudine,Telbivudine for the treatment of chronic hepatitis B,27 August 2008,,https://www.nice.org.uk/guidance/ta154
207,temsirolimus,Temsirolimus for the treatment of relapsed or refractory mantle cell lymphoma (terminated appraisal),27 October 2010,,https://www.nice.org.uk/guidance/ta207
7,the clinical,The clinical and cost effectiveness of proton pump inhibitors for the treatment of dyspepsia,23 July 2000,,https://www.nice.org.uk/guidance/ta7
14,the clinical,The clinical and cost effectiveness of pegylated interferon alpha 2a and alpha 2b for hepatitis C,28 October 2000,,https://www.nice.org.uk/guidance/ta14
31,the clinical effectiveness,The clinical effectiveness and cost effectiveness of sibutramine for obesity,28 October 2001,,https://www.nice.org.uk/guidance/ta31
33,the clinical effectiveness,"The clinical effectiveness and cost effectiveness of irinotecan, oxaliplatin and raltitrexed for colorectal cancer",27 March 2002,,https://www.nice.org.uk/guidance/ta33
36,the clinical effectiveness,The clinical effectiveness and cost effectiveness of etanercept and infliximab for rheumatoid arthritis and juvenile poly-articular idiopathic arthritis,27 March 2002,,https://www.nice.org.uk/guidance/ta36
37,the clinical effectiveness,The clinical effectiveness and cost effectiveness of rituximab for follicular lymphoma,27 March 2002,,https://www.nice.org.uk/guidance/ta37
39,the clinical effectiveness,The clinical effectiveness and cost effectiveness of bupropion (Zyban) and Nicotine Replacement Therapy for smoking cessation,27 March 2002,,https://www.nice.org.uk/guidance/ta39
40,the clinical effectiveness,The clinical effectiveness and cost effectiveness of infliximab for Crohn's disease,26 April 2002,,https://www.nice.org.uk/guidance/ta40
41,the clinical effectiveness,The clinical effectiveness and cost effectiveness of routine anti-D prophylaxis for RhD-negative women in pregnancy,27 May 2002,,https://www.nice.org.uk/guidance/ta41
43,the clinical effectiveness,The clinical effectiveness and cost effectiveness of newer atypical antipsychotic drugs for schizophrenia,26 June 2002,,https://www.nice.org.uk/guidance/ta43
46,the clinical effectiveness,The clinical effectiveness and cost effectiveness of surgery for people with morbid obesity,19 July 2002,,https://www.nice.org.uk/guidance/ta46
56,the clinical effectiveness,The clinical effectiveness and cost effectiveness of tension-free vaginal tape for stress incontinence,26 February 2003,,https://www.nice.org.uk/guidance/ta56
57,the clinical effectiveness,The clinical effectiveness and cost effectiveness of insulin pump therapy,26 February 2003,,https://www.nice.org.uk/guidance/ta57
66,the clinical effectiveness,The clinical effectiveness and cost effectiveness of new drugs for bipolar disorder,24 September 2003,,https://www.nice.org.uk/guidance/ta66
67,the clinical effectiveness,The clinical effectiveness and cost effectiveness of amantadine and oseltamivir for the prophylaxis of influenza,24 September 2003,,https://www.nice.org.uk/guidance/ta67
72,the clinical effectiveness,The clinical effectiveness and cost effectiveness of anakinra for rheumatoid arthritis,26 November 2003,,https://www.nice.org.uk/guidance/ta72
87,the clinical effectiveness,The clinical effectiveness and cost effectiveness of technologies for the secondary prevention of osteoporotic fractures in postmenopausal women,26 January 2005,,https://www.nice.org.uk/guidance/ta87
89,the use of autologous chondrocyte implantation,The use of autologous chondrocyte implantation for the treatment of cartilage defects in the knee joints,25 May 2005,,https://www.nice.org.uk/guidance/ta89
554,tisagenlecleucel,Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people aged up to 25 years,21 December 2018,,https://www.nice.org.uk/guidance/ta554
567,tisagenlecleucel,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies,13 March 2019,,https://www.nice.org.uk/guidance/ta567
842,tisagenlecleucel,Tisagenlecleucel for treating follicular lymphoma after 2 or more therapies (terminated appraisal),22 November 2022,,https://www.nice.org.uk/guidance/ta842
933,tisagenlecleucel,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),29 November 2023,,https://www.nice.org.uk/guidance/ta933
512,tivozanib,Tivozanib for treating advanced renal cell carcinoma,21 March 2018,,https://www.nice.org.uk/guidance/ta512
900,tixagevimab plus cilgavimab,Tixagevimab plus cilgavimab for preventing COVID-19,14 June 2023,,https://www.nice.org.uk/guidance/ta900
383,tnf-alpha inhibitors,TNF-alpha inhibitors for treating active ankylosing spondylitis and non-radiographic axial spondyloarthritis,01 February 2016,,https://www.nice.org.uk/guidance/ta383
304,total hip replacement,Total hip replacement and resurfacing arthroplasty for end-stage arthritis of the hip,26 February 2014,,https://www.nice.org.uk/guidance/ta304
640,treosulfan with fludarabine,Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,05 August 2020,,https://www.nice.org.uk/guidance/ta640
945,treosulfan with fludarabine before allogeneic stem cell transplant,Treosulfan with fludarabine before allogeneic stem cell transplant for people aged 1 month to 17 years with non-malignant diseases (terminated appraisal),30 January 2024,,https://www.nice.org.uk/guidance/ta945
405,trifluridine–tipiracil,Trifluridine–tipiracil for previously treated metastatic colorectal cancer,24 August 2016,,https://www.nice.org.uk/guidance/ta405
669,trifluridine–tipiracil,Trifluridine–tipiracil for treating metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more therapies,27 January 2021,,https://www.nice.org.uk/guidance/ta669
852,trifluridine–tipiracil,Trifluridine–tipiracil for treating metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more treatments,14 December 2022,,https://www.nice.org.uk/guidance/ta852
790,tyrx absorbable antibacterial envelope,TYRX Absorbable Antibacterial Envelope for preventing infection from cardiac implantable electronic devices (terminated appraisal),25 May 2022,,https://www.nice.org.uk/guidance/ta790
550,vandetanib,Vandetanib for treating medullary thyroid cancer,12 December 2018,,https://www.nice.org.uk/guidance/ta550
675,vernakalant,Vernakalant for the rapid conversion of recent onset atrial fibrillation to sinus rhythm (terminated appraisal),17 February 2021,,https://www.nice.org.uk/guidance/ta675
882,voclosporin with mycophenolate mofetil,Voclosporin with mycophenolate mofetil for treating lupus nephritis,03 May 2023,,https://www.nice.org.uk/guidance/ta882
24,wound care - debriding agents,Wound care - debriding agents,27 April 2001,,https://www.nice.org.uk/guidance/ta24
15,zanamivir,Zanamivir for the treatment of influenza in adults,27 November 2000,,https://www.nice.org.uk/guidance/ta15
