ta_number,drug_name,title,published_date,recommendation,guidance_url
84,drotrecogin alfa (activated),Drotrecogin alfa (activated) for severe sepsis,22 September 2004,,https://www.nice.org.uk/guidance/ta84
152,drug-eluting stents,Drug-eluting stents for the treatment of coronary artery disease,23 July 2008,,https://www.nice.org.uk/guidance/ta152
88,dual‑chamber pacemakers,Dual‑chamber pacemakers for symptomatic bradycardia due to sick sinus syndrome and/or atrioventricular block,23 February 2005,,https://www.nice.org.uk/guidance/ta88
324,dual‑chamber pacemakers,Dual‑chamber pacemakers for symptomatic bradycardia due to sick sinus syndrome without atrioventricular block,26 November 2014,,https://www.nice.org.uk/guidance/ta324
717,duvelisib,Duvelisib for treating relapsed follicular lymphoma after 2 or more systemic therapies (terminated appraisal),21 July 2021,,https://www.nice.org.uk/guidance/ta717
811,duvelisib,Duvelisib for treating relapsed or refractory chronic lymphocytic leukaemia after 2 or more treatments (terminated appraisal),27 July 2022,,https://www.nice.org.uk/guidance/ta811
354,edoxaban,Edoxaban for treating and for preventing deep vein thrombosis and pulmonary embolism,26 August 2015,,https://www.nice.org.uk/guidance/ta354
355,edoxaban,Edoxaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,23 September 2015,,https://www.nice.org.uk/guidance/ta355
413,elbasvir–grazoprevir,Elbasvir–grazoprevir for treating chronic hepatitis C,26 October 2016,,https://www.nice.org.uk/guidance/ta413
471,eluxadoline,Eluxadoline for treating irritable bowel syndrome with diarrhoea,30 August 2017,,https://www.nice.org.uk/guidance/ta471
167,endovascular stent–grafts,Endovascular stent–grafts for the treatment of abdominal aortic aneurysms,25 February 2009,,https://www.nice.org.uk/guidance/ta167
153,entecavir,Entecavir for the treatment of chronic hepatitis B,27 August 2008,,https://www.nice.org.uk/guidance/ta153
142,"epoetin alfa, epoetin beta","Epoetin alfa, epoetin beta and darbepoetin alfa for cancer treatment-induced anaemia",28 May 2008,,https://www.nice.org.uk/guidance/ta142
323,erythropoiesis‑stimulating agents (epoetin,Erythropoiesis‑stimulating agents (epoetin and darbepoetin) for treating anaemia in people with cancer having chemotherapy,26 November 2014,,https://www.nice.org.uk/guidance/ta323
448,etelcalcetide,Etelcalcetide for treating secondary hyperparathyroidism,28 June 2017,,https://www.nice.org.uk/guidance/ta448
676,filgotinib,Filgotinib for treating moderate to severe rheumatoid arthritis,24 February 2021,,https://www.nice.org.uk/guidance/ta676
792,filgotinib,Filgotinib for treating moderately to severely active ulcerative colitis,01 June 2022,,https://www.nice.org.uk/guidance/ta792
58,"flu treatment - zanamivir, amantadine","Flu treatment - zanamivir, amantadine and oseltamivir",26 February 2003,,https://www.nice.org.uk/guidance/ta58
