drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
brolucizumab,Other,2020-07-01,2022-08-31,-791,-26.0,PBAC (AUS first),,brolucizumab-psd-july-2020.pdf,820,Brolucizumab for treating diabetic macular oedema,31 August 2022,2020,7,https://www.nice.org.uk/guidance/ta820
brolucizumab,Other,2021-03-01,2021-02-03,26,0.9,Concurrent (±1mo),,brolucizumab-psd-mar-2021.pdf,672,Brolucizumab for treating wet age-related macular degeneration,03 February 2021,2021,3,https://www.nice.org.uk/guidance/ta672
brolucizumab,Other,2021-03-01,2022-08-31,-548,-18.0,PBAC (AUS first),,brolucizumab-psd-mar-2021.pdf,820,Brolucizumab for treating diabetic macular oedema,31 August 2022,2021,3,https://www.nice.org.uk/guidance/ta820
brolucizumab,Other,2020-03-01,2021-02-03,-339,-11.1,PBAC (AUS first),,brolucizumab-psd-march-2020.pdf,672,Brolucizumab for treating wet age-related macular degeneration,03 February 2021,2020,3,https://www.nice.org.uk/guidance/ta672
brolucizumab,Other,2020-03-01,2022-08-31,-913,-30.0,PBAC (AUS first),,brolucizumab-psd-march-2020.pdf,820,Brolucizumab for treating diabetic macular oedema,31 August 2022,2020,3,https://www.nice.org.uk/guidance/ta820
brolucizumab,Other,2019-11-01,2021-02-03,-460,-15.1,PBAC (AUS first),,brolucizumab-psd-november-2019.pdf,672,Brolucizumab for treating wet age-related macular degeneration,03 February 2021,2019,11,https://www.nice.org.uk/guidance/ta672
brolucizumab,Other,2019-11-01,2022-08-31,-1034,-34.0,PBAC (AUS first),,brolucizumab-psd-november-2019.pdf,820,Brolucizumab for treating diabetic macular oedema,31 August 2022,2019,11,https://www.nice.org.uk/guidance/ta820
budesonide,Respiratory,2023-03-01,2021-06-23,616,20.2,NICE (UK first),,budesonide-psd-03-2023-july-2023.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2023,3,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2023-03-01,2023-12-20,-294,-9.7,PBAC (AUS first),,budesonide-psd-03-2023-july-2023.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2023,3,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2013-07-01,2021-06-23,-2914,-95.7,PBAC (AUS first),,budesonide-psd-07-2013.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2013,7,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2013-07-01,2023-12-20,-3824,-125.6,PBAC (AUS first),,budesonide-psd-07-2013.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2013,7,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2017-07-01,2021-06-23,-1453,-47.7,PBAC (AUS first),,budesonide-psd-july-2017.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2017,7,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2017-07-01,2023-12-20,-2363,-77.6,PBAC (AUS first),,budesonide-psd-july-2017.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2017,7,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2018-07-01,2021-06-23,-1088,-35.7,PBAC (AUS first),,budesonide-psd-july-2018.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2018,7,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2018-07-01,2023-12-20,-1998,-65.6,PBAC (AUS first),,budesonide-psd-july-2018.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2018,7,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2021-03-01,2021-06-23,-114,-3.7,PBAC (AUS first),,budesonide-psd-mar-2021.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2021,3,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2021-03-01,2023-12-20,-1024,-33.6,PBAC (AUS first),,budesonide-psd-mar-2021.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2021,3,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2024-03-01,2021-06-23,982,32.3,NICE (UK first),,budesonide-psd-march-2024.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2024,3,https://www.nice.org.uk/guidance/ta708
budesonide,Respiratory,2024-03-01,2023-12-20,72,2.4,NICE (UK first),,budesonide-psd-march-2024.pdf,937,Targeted-release budesonide for treating primary IgA nephropathy,20 December 2023,2024,3,https://www.nice.org.uk/guidance/ta937
budesonide,Respiratory,2021-11-01,2021-06-23,131,4.3,NICE (UK first),,budesonide-psd-nov-2021.pdf,708,Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,23 June 2021,2021,11,https://www.nice.org.uk/guidance/ta708
