drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
bortezomib,Oncology,2022-03-01,2019-09-25,888,29.2,NICE (UK first),,bortezomib-psd-march-2022%20.pdf,603,Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),25 September 2019,2022,3,https://www.nice.org.uk/guidance/ta603
bortezomib,Oncology,2022-03-01,2022-02-09,20,0.7,Concurrent (±1mo),,bortezomib-psd-march-2022%20.pdf,771,"Daratumumab with bortezomib, melphalan and prednisone for untreated multiple myeloma (terminated appraisal)",09 February 2022,2022,3,https://www.nice.org.uk/guidance/ta771
bortezomib,Oncology,2022-03-01,2023-06-06,-462,-15.2,PBAC (AUS first),,bortezomib-psd-march-2022%20.pdf,897,Daratumumab with bortezomib and dexamethasone for previously treated multiple myeloma,06 June 2023,2022,3,https://www.nice.org.uk/guidance/ta897
bortezomib-dbl,Oncology,2021-07-01,2011-07-27,3627,119.2,NICE (UK first),,bortezomib-dbl-psd-july-2021.pdf,228,Bortezomib and thalidomide for the first‑line treatment of multiple myeloma,27 July 2011,2021,7,https://www.nice.org.uk/guidance/ta228
bortezomib-dbl,Oncology,2021-07-01,2014-04-23,2626,86.3,NICE (UK first),,bortezomib-dbl-psd-july-2021.pdf,311,Bortezomib for induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,23 April 2014,2021,7,https://www.nice.org.uk/guidance/ta311
bortezomib-dbl,Oncology,2021-07-01,2015-12-16,2024,66.5,NICE (UK first),,bortezomib-dbl-psd-july-2021.pdf,370,Bortezomib for previously untreated mantle cell lymphoma,16 December 2015,2021,7,https://www.nice.org.uk/guidance/ta370
bortezomib-dbl,Oncology,2021-07-01,2017-07-05,1457,47.9,NICE (UK first),,bortezomib-dbl-psd-july-2021.pdf,453,Bortezomib for treating multiple myeloma after second or subsequent relapse (terminated appraisal),05 July 2017,2021,7,https://www.nice.org.uk/guidance/ta453
bortezomib-juno,Oncology,2021-07-01,2011-07-27,3627,119.2,NICE (UK first),,bortezomib-juno-psd-july-2021.pdf,228,Bortezomib and thalidomide for the first‑line treatment of multiple myeloma,27 July 2011,2021,7,https://www.nice.org.uk/guidance/ta228
bortezomib-juno,Oncology,2021-07-01,2014-04-23,2626,86.3,NICE (UK first),,bortezomib-juno-psd-july-2021.pdf,311,Bortezomib for induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,23 April 2014,2021,7,https://www.nice.org.uk/guidance/ta311
bortezomib-juno,Oncology,2021-07-01,2015-12-16,2024,66.5,NICE (UK first),,bortezomib-juno-psd-july-2021.pdf,370,Bortezomib for previously untreated mantle cell lymphoma,16 December 2015,2021,7,https://www.nice.org.uk/guidance/ta370
