drug_name,brand_name,atc_code,gov_benefit_aud,scripts,cost_per_script_aud,report_year,source_url
IBRUTINIB,,,81936652,9692,8454.05,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
RUXOLITINIB,,,80014832,16972,4714.52,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DARBEPOETIN ALFA,,,78579890,84772,926.96,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ZANUBRUTINIB,,,76824608,9625,7981.78,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
VENETOCLAX,,,74129049,12115,6118.78,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
RAVULIZUMAB,,,73305947,1204,60885.34,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
PERTUZUMAB,,,69248719,21997,3148.1,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ACALABRUTINIB,,,64954631,8299,7826.8,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
BEVACIZUMAB,,,63348819,68634,922.99,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DAROLUTAMIDE,,,58919406,16824,3502.1,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
AVELUMAB,,,56602215,9550,5926.93,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
OBINUTUZUMAB,,,55181111,11748,4697.06,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ABIRATERONE,,,53117463,15666,3390.62,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
GOSERELIN^,,,52975158,133081,398.07,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ABEMACICLIB,,,46317975,11002,4209.96,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
