ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
390,"Canagliflozin, dapagliflozin and empagliflozin as monotherapies for treating type 2 diabetes","canagliflozin, dapagliflozin",25 May 2016,,https://www.nice.org.uk/guidance/ta390,https://www.nice.org.uk/guidance/ta390/resources/canagliflozin-dapagliflozin-and-empagliflozin-as-monotherapies-for-treating-type-2-diabetes-pdf-82602903454405
391,Cabazitaxel for hormone-relapsed metastatic prostate cancer treated with docetaxel,cabazitaxel,25 May 2016,,https://www.nice.org.uk/guidance/ta391,https://www.nice.org.uk/guidance/ta391/resources/cabazitaxel-for-hormonerelapsed-metastatic-prostate-cancer-treated-with-docetaxel-pdf-82602905134021
392,Adalimumab for treating moderate to severe hidradenitis suppurativa,adalimumab,22 June 2016,,https://www.nice.org.uk/guidance/ta392,https://www.nice.org.uk/guidance/ta392/resources/adalimumab-for-treating-moderate-to-severe-hidradenitis-suppurativa-pdf-82602906813637
393,Alirocumab for treating primary hypercholesterolaemia and mixed dyslipidaemia,alirocumab,22 June 2016,,https://www.nice.org.uk/guidance/ta393,https://www.nice.org.uk/guidance/ta393/resources/alirocumab-for-treating-primary-hypercholesterolaemia-and-mixed-dyslipidaemia-pdf-82602908493253
394,Evolocumab for treating primary hypercholesterolaemia and mixed dyslipidaemia,evolocumab,22 June 2016,,https://www.nice.org.uk/guidance/ta394,https://www.nice.org.uk/guidance/ta394/resources/evolocumab-for-treating-primary-hypercholesterolaemia-and-mixed-dyslipidaemia-pdf-82602910172869
395,Ceritinib for previously treated anaplastic lymphoma kinase positive non-small-cell lung cancer,ceritinib,22 June 2016,,https://www.nice.org.uk/guidance/ta395,https://www.nice.org.uk/guidance/ta395/resources/ceritinib-for-previously-treated-anaplastic-lymphoma-kinase-positive-nonsmallcell-lung-cancer-pdf-82602911852485
396,Trametinib in combination with dabrafenib for treating unresectable or metastatic melanoma,trametinib in combination with dabrafenib,22 June 2016,,https://www.nice.org.uk/guidance/ta396,https://www.nice.org.uk/guidance/ta396/resources/trametinib-in-combination-with-dabrafenib-for-treating-unresectable-or-metastatic-melanoma-pdf-82602913532101
397,Belimumab for treating active autoantibody-positive systemic lupus erythematosus,belimumab,22 June 2016,,https://www.nice.org.uk/guidance/ta397,https://www.nice.org.uk/guidance/ta397/resources/ta397.pdf
398,Lumacaftor–ivacaftor for treating cystic fibrosis homozygous for the F508del mutation,lumacaftor–ivacaftor,27 July 2016,,https://www.nice.org.uk/guidance/ta398,https://www.nice.org.uk/guidance/ta398/resources/ta398.pdf
399,Azacitidine for treating acute myeloid leukaemia with more than 30% bone marrow blasts,azacitidine,27 July 2016,,https://www.nice.org.uk/guidance/ta399,https://www.nice.org.uk/guidance/ta399/resources/azacitidine-for-treating-acute-myeloid-leukaemia-with-more-than-30-bone-marrow-blasts-pdf-82602918570949
400,Nivolumab in combination with ipilimumab for treating advanced melanoma,nivolumab in combination with ipilimumab,27 July 2016,,https://www.nice.org.uk/guidance/ta400,https://www.nice.org.uk/guidance/ta400/resources/nivolumab-in-combination-with-ipilimumab-for-treating-advanced-melanoma-pdf-82604536041157
401,Bosutinib for previously treated chronic myeloid leukaemia,bosutinib,24 August 2016,,https://www.nice.org.uk/guidance/ta401,https://www.nice.org.uk/guidance/ta401/resources/bosutinib-for-previously-treated-chronic-myeloid-leukaemia-pdf-82604537720773
402,Pemetrexed maintenance treatment for non-squamous non-small-cell lung cancer after pemetrexed and cisplatin,pemetrexed maintenance treatment,24 August 2016,,https://www.nice.org.uk/guidance/ta402,https://www.nice.org.uk/guidance/ta402/resources/pemetrexed-maintenance-treatment-for-nonsquamous-nonsmallcell-lung-cancer-after-pemetrexed-and-cisplatin-pdf-82604539400389
403,Ramucirumab for previously treated locally advanced or metastatic non-small-cell lung cancer,ramucirumab,24 August 2016,,https://www.nice.org.uk/guidance/ta403,https://www.nice.org.uk/guidance/ta403/resources/ramucirumab-for-previously-treated-locally-advanced-or-metastatic-nonsmallcell-lung-cancer-pdf-82604541080005
404,Degarelix for treating advanced hormone-dependent prostate cancer,degarelix,24 August 2016,,https://www.nice.org.uk/guidance/ta404,https://www.nice.org.uk/guidance/ta404/resources/degarelix-for-treating-advanced-hormonedependent-prostate-cancer-pdf-82604542759621
405,Trifluridine–tipiracil for previously treated metastatic colorectal cancer,trifluridine–tipiracil,24 August 2016,,https://www.nice.org.uk/guidance/ta405,https://www.nice.org.uk/guidance/ta405/resources/trifluridinetipiracil-for-previously-treated-metastatic-colorectal-cancer-pdf-82604544439237
406,Crizotinib for untreated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,crizotinib,28 September 2016,,https://www.nice.org.uk/guidance/ta406,https://www.nice.org.uk/guidance/ta406/resources/crizotinib-for-untreated-anaplastic-lymphoma-kinasepositive-advanced-nonsmallcell-lung-cancer-pdf-82604546118853
407,Secukinumab for treating active ankylosing spondylitis,secukinumab,28 September 2016,,https://www.nice.org.uk/guidance/ta407,https://www.nice.org.uk/guidance/ta407/resources/secukinumab-for-treating-active-ankylosing-spondylitis-pdf-82604547798469
408,Pegaspargase for treating acute lymphoblastic leukaemia,pegaspargase,28 September 2016,,https://www.nice.org.uk/guidance/ta408,https://www.nice.org.uk/guidance/ta408/resources/pegaspargase-for-treating-acute-lymphoblastic-leukaemia-pdf-82604549478085
409,Aflibercept for treating visual impairment caused by macular oedema after branch retinal vein occlusion,aflibercept,28 September 2016,,https://www.nice.org.uk/guidance/ta409,https://www.nice.org.uk/guidance/ta409/resources/aflibercept-for-treating-visual-impairment-caused-by-macular-oedema-after-branch-retinal-vein-occlusion-pdf-82604551157701
410,Talimogene laherparepvec for treating unresectable metastatic melanoma,talimogene laherparepvec,28 September 2016,,https://www.nice.org.uk/guidance/ta410,https://www.nice.org.uk/guidance/ta410/resources/talimogene-laherparepvec-for-treating-unresectable-metastatic-melanoma-pdf-82604596507333
411,Necitumumab for untreated advanced or metastatic squamous non-small-cell lung cancer,necitumumab,28 September 2016,,https://www.nice.org.uk/guidance/ta411,https://www.nice.org.uk/guidance/ta411/resources/necitumumab-for-untreated-advanced-or-metastatic-squamous-nonsmallcell-lung-cancer-pdf-82604598186949
412,Radium-223 dichloride for treating hormone-relapsed prostate cancer with bone metastases,radium-223 dichloride,28 September 2016,,https://www.nice.org.uk/guidance/ta412,https://www.nice.org.uk/guidance/ta412/resources/radium223-dichloride-for-treating-hormonerelapsed-prostate-cancer-with-bone-metastases-pdf-82604599866565
413,Elbasvir–grazoprevir for treating chronic hepatitis C,elbasvir–grazoprevir,26 October 2016,,https://www.nice.org.uk/guidance/ta413,https://www.nice.org.uk/guidance/ta413/resources/elbasvirgrazoprevir-for-treating-chronic-hepatitis-c-pdf-82604601546181
414,Cobimetinib in combination with vemurafenib for treating unresectable or metastatic BRAF V600 mutation-positive melanoma,cobimetinib in combination with vemurafenib,26 October 2016,,https://www.nice.org.uk/guidance/ta414,https://www.nice.org.uk/guidance/ta414/resources/cobimetinib-in-combination-with-vemurafenib-for-treating-unresectable-or-metastatic-braf-v600-mutationpositive-melanoma-pdf-82604603225797
415,Certolizumab pegol for treating rheumatoid arthritis after inadequate response to a TNF-alpha inhibitor,certolizumab pegol,26 October 2016,,https://www.nice.org.uk/guidance/ta415,https://www.nice.org.uk/guidance/ta415/resources/certolizumab-pegol-for-treating-rheumatoid-arthritis-after-inadequate-response-to-a-tnfalpha-inhibitor-pdf-82604604905413
416,Osimertinib for treating locally advanced or metastatic EGFR T790M mutation-positive non-small-cell lung cancer,osimertinib,26 October 2016,,https://www.nice.org.uk/guidance/ta416,https://www.nice.org.uk/guidance/ta416/resources/ta416.pdf
417,Nivolumab for previously treated advanced renal cell carcinoma,nivolumab,23 November 2016,,https://www.nice.org.uk/guidance/ta417,https://www.nice.org.uk/guidance/ta417/resources/nivolumab-for-previously-treated-advanced-renal-cell-carcinoma-pdf-82604608264645
418,Dapagliflozin in triple therapy for treating type 2 diabetes,dapagliflozin in triple therapy,23 November 2016,,https://www.nice.org.uk/guidance/ta418,https://www.nice.org.uk/guidance/ta418/resources/dapagliflozin-in-triple-therapy-for-treating-type-2-diabetes-pdf-82604609944261
419,Apremilast for treating moderate to severe plaque psoriasis,apremilast,23 November 2016,,https://www.nice.org.uk/guidance/ta419,https://www.nice.org.uk/guidance/ta419/resources/apremilast-for-treating-moderate-to-severe-plaque-psoriasis-pdf-82604611623877
420,Ticagrelor for preventing atherothrombotic events after myocardial infarction,ticagrelor,14 December 2016,,https://www.nice.org.uk/guidance/ta420,https://www.nice.org.uk/guidance/ta420/resources/ticagrelor-for-preventing-atherothrombotic-events-after-myocardial-infarction-pdf-82604656973509
421,Everolimus with exemestane for treating advanced breast cancer after endocrine therapy,everolimus with exemestane,21 December 2016,,https://www.nice.org.uk/guidance/ta421,https://www.nice.org.uk/guidance/ta421/resources/everolimus-with-exemestane-for-treating-advanced-breast-cancer-after-endocrine-therapy-pdf-82604658653125
422,Crizotinib for previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,crizotinib,21 December 2016,,https://www.nice.org.uk/guidance/ta422,https://www.nice.org.uk/guidance/ta422/resources/crizotinib-for-previously-treated-anaplastic-lymphoma-kinasepositive-advanced-nonsmallcell-lung-cancer-pdf-82604660332741
