ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
1,Guidance on the extraction of wisdom teeth,guidance on the extraction of wisdom teeth,27 March 2000,,https://www.nice.org.uk/guidance/ta1,https://www.nice.org.uk/guidance/ta1/resources/guidance-on-the-extraction-of-wisdom-teeth-pdf-63732983749
2,Guidance on the Selection of Prostheses for Primary Total Hip Replacement,guidance on the selection of prostheses,26 April 2000,,https://www.nice.org.uk/guidance/ta2,https://www.nice.org.uk/guidance/ta2/resources/ta2.pdf
3,Ovarian cancer - taxanes,ovarian cancer - taxanes,27 May 2000,,https://www.nice.org.uk/guidance/ta3,https://www.nice.org.uk/guidance/ta3/resources/ta3.pdf
4,Ischaemic heart disease - coronary artery stents,ischaemic heart disease - coronary artery stents,27 May 2000,,https://www.nice.org.uk/guidance/ta4,https://www.nice.org.uk/guidance/ta4/resources/ta4.pdf
5,Liquid-based cytology for cervical screening,liquid-based cytology,26 June 2000,,https://www.nice.org.uk/guidance/ta5,https://www.nice.org.uk/guidance/ta5/resources/ta5.pdf
6,Taxanes for the treatment of breast cancer,taxanes,26 June 2000,,https://www.nice.org.uk/guidance/ta6,https://www.nice.org.uk/guidance/ta6/resources/ta6.pdf
7,The clinical and cost effectiveness of proton pump inhibitors for the treatment of dyspepsia,the clinical,23 July 2000,,https://www.nice.org.uk/guidance/ta7,https://www.nice.org.uk/guidance/ta7/resources/ta7.pdf
8,Hearing disability - hearing aids,hearing disability - hearing aids,23 July 2000,,https://www.nice.org.uk/guidance/ta8,https://www.nice.org.uk/guidance/ta8/resources/ta8.pdf
9,Diabetes (type 2) - rosiglitazone,diabetes (type 2) - rosiglitazone,23 August 2000,,https://www.nice.org.uk/guidance/ta9,https://www.nice.org.uk/guidance/ta9/resources/ta9.pdf
10,Guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,23 August 2000,,https://www.nice.org.uk/guidance/ta10,https://www.nice.org.uk/guidance/ta10/resources/ta10.pdf
11,Implantable cardioverter defibrillators (ICDs) for the treatment of arrhythmias,implantable cardioverter defibrillators (icds),26 September 2000,,https://www.nice.org.uk/guidance/ta11,https://www.nice.org.uk/guidance/ta11/resources/ta11.pdf
12,Glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,glycoprotein iib/iiia inhibitors in the treatment of acute coronary syndromes,26 September 2000,,https://www.nice.org.uk/guidance/ta12,https://www.nice.org.uk/guidance/ta12/resources/ta12.pdf
13,Methylphenidate for the treatment of attention deficit hyperactivity disorder in children and adolescents,methylphenidate,28 October 2000,,https://www.nice.org.uk/guidance/ta13,https://www.nice.org.uk/guidance/ta13/resources/ta13.pdf
14,The clinical and cost effectiveness of pegylated interferon alpha 2a and alpha 2b for hepatitis C,the clinical,28 October 2000,,https://www.nice.org.uk/guidance/ta14,https://www.nice.org.uk/guidance/ta14/resources/ta14.pdf
15,Zanamivir for the treatment of influenza in adults,zanamivir,27 November 2000,,https://www.nice.org.uk/guidance/ta15,https://www.nice.org.uk/guidance/ta15/resources/ta15.pdf
16,Autologous cartilage transplantation for full thickness cartilage defects in knee joints,autologous cartilage transplantation,16 December 2000,,https://www.nice.org.uk/guidance/ta16,https://www.nice.org.uk/guidance/ta16/resources/ta16.pdf
17,Laparoscopic surgery for colorectal cancer,laparoscopic surgery,16 December 2000,,https://www.nice.org.uk/guidance/ta17,https://www.nice.org.uk/guidance/ta17/resources/ta17.pdf
18,Laparoscopic surgery for hernia,laparoscopic surgery,23 January 2001,,https://www.nice.org.uk/guidance/ta18,https://www.nice.org.uk/guidance/ta18/resources/ta18.pdf
19,"Alzheimer's disease (mild to moderate) - donepezil, rivastigmine and galantamine","alzheimer's disease (mild to moderate) - donepezil, rivastigmine",23 January 2001,,https://www.nice.org.uk/guidance/ta19,https://www.nice.org.uk/guidance/ta19/resources/ta19.pdf
20,Guidance on the use of riluzole (Rilutek) for the treatment of motor neurone disease,guidance on the use of riluzole (rilutek),23 January 2001,,https://www.nice.org.uk/guidance/ta20,https://www.nice.org.uk/guidance/ta20/resources/guidance-on-the-use-of-riluzole-rilutek-for-the-treatment-of-motor-neurone-disease-pdf-2294449469125
21,Diabetes (type 2) - pioglitazone,diabetes (type 2) - pioglitazone,27 March 2001,,https://www.nice.org.uk/guidance/ta21,https://www.nice.org.uk/guidance/ta21/resources/ta21.pdf
22,Orlistat for the treatment of obesity in adults,orlistat,27 March 2001,,https://www.nice.org.uk/guidance/ta22,https://www.nice.org.uk/guidance/ta22/resources/ta22.pdf
23,Guidance on the use of temozolomide for the treatment of recurrent malignant glioma (brain cancer),guidance on the use of temozolomide,26 April 2001,,https://www.nice.org.uk/guidance/ta23,https://www.nice.org.uk/guidance/ta23/resources/guidance-on-the-use-of-temozolomide-for-the-treatment-of-recurrent-malignant-glioma-brain-cancer-pdf-2294454507973
24,Wound care - debriding agents,wound care - debriding agents,27 April 2001,,https://www.nice.org.uk/guidance/ta24,https://www.nice.org.uk/guidance/ta24/resources/ta24.pdf
25,Guidance on the use of gemcitabine for the treatment of pancreatic cancer,guidance on the use of gemcitabine,08 May 2001,,https://www.nice.org.uk/guidance/ta25,https://www.nice.org.uk/guidance/ta25/resources/ta25.pdf
26,"Docetaxel, paclitaxel, gemcitabine and vinorelbine for the treatment of non-small cell lung cancer","docetaxel, paclitaxel, gemcitabine",26 June 2001,,https://www.nice.org.uk/guidance/ta26,https://www.nice.org.uk/guidance/ta26/resources/ta26.pdf
27,Cox-II inhibitors for the treatment of osteoarthritis and rheumatoid arthritis,cox-ii inhibitors,23 July 2001,,https://www.nice.org.uk/guidance/ta27,https://www.nice.org.uk/guidance/ta27/resources/ta27.pdf
28,Ovarian cancer - topotecan,ovarian cancer - topotecan,23 July 2001,,https://www.nice.org.uk/guidance/ta28,https://www.nice.org.uk/guidance/ta28/resources/ta28.pdf
29,Guidance on the use of fludarabine for B-cell chronic lymphocytic leukaemia,guidance on the use of fludarabine,26 September 2001,,https://www.nice.org.uk/guidance/ta29,https://www.nice.org.uk/guidance/ta29/resources/guidance-on-the-use-of-fludarabine-for-bcell-chronic-lymphocytic-leukaemia-pdf-2294464585669
30,Taxanes for the treatment of breast cancer,taxanes,26 September 2001,,https://www.nice.org.uk/guidance/ta30,https://www.nice.org.uk/guidance/ta30/resources/ta30.pdf
31,The clinical effectiveness and cost effectiveness of sibutramine for obesity,the clinical effectiveness,28 October 2001,,https://www.nice.org.uk/guidance/ta31,https://www.nice.org.uk/guidance/ta31/resources/ta31.pdf
32,Beta interferon and glatiramer acetate for the treatment of multiple sclerosis,beta interferon,23 January 2002,,https://www.nice.org.uk/guidance/ta32,https://www.nice.org.uk/guidance/ta32/resources/ta32.pdf
33,"The clinical effectiveness and cost effectiveness of irinotecan, oxaliplatin and raltitrexed for colorectal cancer",the clinical effectiveness,27 March 2002,,https://www.nice.org.uk/guidance/ta33,https://www.nice.org.uk/guidance/ta33/resources/ta33.pdf
34,Guidance on the use of trastuzumab for the treatment of advanced breast cancer,guidance on the use of trastuzumab,15 March 2002,,https://www.nice.org.uk/guidance/ta34,https://www.nice.org.uk/guidance/ta34/resources/guidance-on-the-use-of-trastuzumab-for-the-treatment-of-advanced-breast-cancer-pdf-2294516653765
35,Guidance on the use of etanercept for the treatment of juvenile idiopathic arthritis,guidance on the use of etanercept,27 March 2002,,https://www.nice.org.uk/guidance/ta35,https://www.nice.org.uk/guidance/ta35/resources/ta35.pdf
36,The clinical effectiveness and cost effectiveness of etanercept and infliximab for rheumatoid arthritis and juvenile poly-articular idiopathic arthritis,the clinical effectiveness,27 March 2002,,https://www.nice.org.uk/guidance/ta36,https://www.nice.org.uk/guidance/ta36/resources/ta36.pdf
37,The clinical effectiveness and cost effectiveness of rituximab for follicular lymphoma,the clinical effectiveness,27 March 2002,,https://www.nice.org.uk/guidance/ta37,https://www.nice.org.uk/guidance/ta37/resources/ta37.pdf
38,Inhaler devices for routine treatment of chronic asthma in older children (aged 5 to 15 years),inhaler devices,27 March 2002,,https://www.nice.org.uk/guidance/ta38,https://www.nice.org.uk/guidance/ta38/resources/ta38.pdf
39,The clinical effectiveness and cost effectiveness of bupropion (Zyban) and Nicotine Replacement Therapy for smoking cessation,the clinical effectiveness,27 March 2002,,https://www.nice.org.uk/guidance/ta39,https://www.nice.org.uk/guidance/ta39/resources/ta39.pdf
40,The clinical effectiveness and cost effectiveness of infliximab for Crohn's disease,the clinical effectiveness,26 April 2002,,https://www.nice.org.uk/guidance/ta40,https://www.nice.org.uk/guidance/ta40/resources/ta40.pdf
41,The clinical effectiveness and cost effectiveness of routine anti-D prophylaxis for RhD-negative women in pregnancy,the clinical effectiveness,27 May 2002,,https://www.nice.org.uk/guidance/ta41,https://www.nice.org.uk/guidance/ta41/resources/ta41.pdf
42,Human growth hormone for the treatment growth failure in children,human growth hormone,27 May 2002,,https://www.nice.org.uk/guidance/ta42,https://www.nice.org.uk/guidance/ta42/resources/ta42.pdf
43,The clinical effectiveness and cost effectiveness of newer atypical antipsychotic drugs for schizophrenia,the clinical effectiveness,26 June 2002,,https://www.nice.org.uk/guidance/ta43,https://www.nice.org.uk/guidance/ta43/resources/ta43.pdf
44,Guidance on the use of metal on metal hip resurfacing arthroplasty,guidance on the use of metal on metal hip resurfacing arthroplasty,26 June 2002,,https://www.nice.org.uk/guidance/ta44,https://www.nice.org.uk/guidance/ta44/resources/ta44.pdf
45,"Ovarian cancer (advanced) - paclitaxel, pegylated liposomal doxorubicin hydrochloride and topotecan","ovarian cancer (advanced) - paclitaxel, pegylated liposomal doxorubicin hydrochloride",19 July 2002,,https://www.nice.org.uk/guidance/ta45,https://www.nice.org.uk/guidance/ta45/resources/ta45.pdf
46,The clinical effectiveness and cost effectiveness of surgery for people with morbid obesity,the clinical effectiveness,19 July 2002,,https://www.nice.org.uk/guidance/ta46,https://www.nice.org.uk/guidance/ta46/resources/ta46.pdf
47,Guidance on the use of glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,guidance on the use of glycoprotein iib/iiia inhibitors in the treatment of acute coronary syndromes,05 September 2002,,https://www.nice.org.uk/guidance/ta47,https://www.nice.org.uk/guidance/ta47/resources/guidance-on-the-use-of-glycoprotein-iibiiia-inhibitors-in-the-treatment-of-acute-coronary-syndromes-pdf-2294582158789
48,Guidance on home compared with hospital haemodialysis for patients with end-stage renal failure,guidance on home compared with hospital haemodialysis,26 September 2002,,https://www.nice.org.uk/guidance/ta48,https://www.nice.org.uk/guidance/ta48/resources/ta48.pdf
49,Guidance on the use of ultrasound locating devices for placing central venous catheters,guidance on the use of ultrasound locating devices,04 October 2002,,https://www.nice.org.uk/guidance/ta49,https://www.nice.org.uk/guidance/ta49/resources/guidance-on-the-use-of-ultrasound-locating-devices-for-placing-central-venous-catheters-pdf-2294585518021
50,Imanitib for chronic myeloid leukaemia,imanitib,16 October 2002,,https://www.nice.org.uk/guidance/ta50,https://www.nice.org.uk/guidance/ta50/resources/ta50.pdf
51,Computerised cognitive behaviour therapy (CCBT) for the treatment of depression and anxiety,computerised cognitive behaviour therapy (ccbt),24 October 2002,,https://www.nice.org.uk/guidance/ta51,https://www.nice.org.uk/guidance/ta51/resources/ta51.pdf
52,Guidance on the use of drugs for early thrombolysis in the treatment of acute myocardial infarction,guidance on the use of drugs,30 October 2002,,https://www.nice.org.uk/guidance/ta52,https://www.nice.org.uk/guidance/ta52/resources/guidance-on-the-use-of-drugs-for-early-thrombolysis-in-the-treatment-of-acute-myocardial-infarction-pdf-2294634226885
53,Guidance on the use of long‑acting insulin analogues for the treatment of diabetes – insulin glargine,guidance on the use of long‑acting insulin analogues,06 December 2002,,https://www.nice.org.uk/guidance/ta53,https://www.nice.org.uk/guidance/ta53/resources/ta53.pdf
54,Guidance on the use of vinorelbine for the treatment of advanced breast cancer,guidance on the use of vinorelbine,13 December 2002,,https://www.nice.org.uk/guidance/ta54,https://www.nice.org.uk/guidance/ta54/resources/ta54.pdf
55,Guidance on the use of paclitaxel in the treatment of ovarian cancer,guidance on the use of paclitaxel in the treatment of ovarian cancer,22 January 2003,,https://www.nice.org.uk/guidance/ta55,https://www.nice.org.uk/guidance/ta55/resources/guidance-on-the-use-of-paclitaxel-in-the-treatment-of-ovarian-cancer-pdf-2294639265733
56,The clinical effectiveness and cost effectiveness of tension-free vaginal tape for stress incontinence,the clinical effectiveness,26 February 2003,,https://www.nice.org.uk/guidance/ta56,https://www.nice.org.uk/guidance/ta56/resources/ta56.pdf
57,The clinical effectiveness and cost effectiveness of insulin pump therapy,the clinical effectiveness,26 February 2003,,https://www.nice.org.uk/guidance/ta57,https://www.nice.org.uk/guidance/ta57/resources/ta57.pdf
58,"Flu treatment - zanamivir, amantadine and oseltamivir","flu treatment - zanamivir, amantadine",26 February 2003,,https://www.nice.org.uk/guidance/ta58,https://www.nice.org.uk/guidance/ta58/resources/ta58.pdf
59,Guidance on the use of electroconvulsive therapy,guidance on the use of electroconvulsive therapy,26 April 2003,,https://www.nice.org.uk/guidance/ta59,https://www.nice.org.uk/guidance/ta59/resources/guidance-on-the-use-of-electroconvulsive-therapy-pdf-2294645984197
60,Guidance on the use of patient-education models for diabetes,guidance on the use of patient-education models,26 April 2003,,https://www.nice.org.uk/guidance/ta60,https://www.nice.org.uk/guidance/ta60/resources/ta60.pdf
61,Guidance on the use of capecitabine and tegafur with uracil for metastatic colorectal cancer,guidance on the use of capecitabine,27 May 2003,,https://www.nice.org.uk/guidance/ta61,https://www.nice.org.uk/guidance/ta61/resources/guidance-on-the-use-of-capecitabine-and-tegafur-with-uracil-for-metastatic-colorectal-cancer-pdf-2294693013445
62,Guidance on the use of capecitabine for the treatment of locally advanced or metastatic breast cancer,guidance on the use of capecitabine,28 May 2003,,https://www.nice.org.uk/guidance/ta62,https://www.nice.org.uk/guidance/ta62/resources/ta62.pdf
63,Glitazones in the treatment of type 2 diabetes,glitazones in the treatment of type 2 diabetes,27 August 2003,,https://www.nice.org.uk/guidance/ta63,https://www.nice.org.uk/guidance/ta63/resources/ta63.pdf
64,Human growth hormone (somatropin) in adults with growth hormone deficiency,human growth hormone (somatropin) in adults with growth hormone deficiency,27 August 2003,,https://www.nice.org.uk/guidance/ta64,https://www.nice.org.uk/guidance/ta64/resources/human-growth-hormone-somatropin-in-adults-with-growth-hormone-deficiency-pdf-2294698052293
65,Rituximab for aggressive non-Hodgkin's lymphoma,rituximab,24 September 2003,,https://www.nice.org.uk/guidance/ta65,https://www.nice.org.uk/guidance/ta65/resources/ta65.pdf
66,The clinical effectiveness and cost effectiveness of new drugs for bipolar disorder,the clinical effectiveness,24 September 2003,,https://www.nice.org.uk/guidance/ta66,https://www.nice.org.uk/guidance/ta66/resources/ta66.pdf
67,The clinical effectiveness and cost effectiveness of amantadine and oseltamivir for the prophylaxis of influenza,the clinical effectiveness,24 September 2003,,https://www.nice.org.uk/guidance/ta67,https://www.nice.org.uk/guidance/ta67/resources/ta67.pdf
68,Guidance on the use of photodynamic therapy for age-related macular degeneration,guidance on the use of photodynamic therapy,24 September 2003,,https://www.nice.org.uk/guidance/ta68,https://www.nice.org.uk/guidance/ta68/resources/ta68.pdf
69,Guidance on the use of liquid-based cytology for cervical screening,guidance on the use of liquid-based cytology,22 October 2003,,https://www.nice.org.uk/guidance/ta69,https://www.nice.org.uk/guidance/ta69/resources/guidance-on-the-use-of-liquidbased-cytology-for-cervical-screening-pdf-2294706450373
70,Guidance on the use of imatinib for chronic myeloid leukaemia,guidance on the use of imatinib,22 October 2003,,https://www.nice.org.uk/guidance/ta70,https://www.nice.org.uk/guidance/ta70/resources/guidance-on-the-use-of-imatinib-for-chronic-myeloid-leukaemia-pdf-2294751800005
71,Guidance on the use of coronary artery stents,guidance on the use of coronary artery stents,22 October 2003,,https://www.nice.org.uk/guidance/ta71,https://www.nice.org.uk/guidance/ta71/resources/guidance-on-the-use-of-coronary-artery-stents-pdf-2294753479621
72,The clinical effectiveness and cost effectiveness of anakinra for rheumatoid arthritis,the clinical effectiveness,26 November 2003,,https://www.nice.org.uk/guidance/ta72,https://www.nice.org.uk/guidance/ta72/resources/ta72.pdf
73,Myocardial perfusion scintigraphy for the diagnosis and management of angina and myocardial infarction,myocardial perfusion scintigraphy,26 November 2003,,https://www.nice.org.uk/guidance/ta73,https://www.nice.org.uk/guidance/ta73/resources/myocardial-perfusion-scintigraphy-for-the-diagnosis-and-management-of-angina-and-myocardial-infarction-pdf-2294756838853
74,Pre-hospital initiation of fluid replacement therapy in trauma,pre-hospital initiation of fluid replacement therapy in trauma,28 January 2004,,https://www.nice.org.uk/guidance/ta74,https://www.nice.org.uk/guidance/ta74/resources/prehospital-initiation-of-fluid-replacement-therapy-in-trauma-pdf-2294758518469
75,Interferon alfa (pegylated and non-pegylated) and ribavirin for the treatment of chronic hepatitis C,interferon alfa (pegylated,28 January 2004,,https://www.nice.org.uk/guidance/ta75,https://www.nice.org.uk/guidance/ta75/resources/interferon-alfa-pegylated-and-nonpegylated-and-ribavirin-for-the-treatment-of-chronic-hepatitis-c-pdf-2294760198085
76,Newer drugs for epilepsy in adults,newer drugs,24 March 2004,,https://www.nice.org.uk/guidance/ta76,https://www.nice.org.uk/guidance/ta76/resources/ta76.pdf
77,"Guidance on the use of zaleplon, zolpidem and zopiclone for the short-term management of insomnia","guidance on the use of zaleplon, zolpidem",28 April 2004,,https://www.nice.org.uk/guidance/ta77,https://www.nice.org.uk/guidance/ta77/resources/guidance-on-the-use-of-zaleplon-zolpidem-and-zopiclone-for-the-shortterm-management-of-insomnia-pdf-2294763557317
78,Fluid-filled thermal balloon and microwave endometrial ablation techniques for heavy menstrual bleeding,fluid-filled thermal balloon,28 April 2004,,https://www.nice.org.uk/guidance/ta78,https://www.nice.org.uk/guidance/ta78/resources/fluidfilled-thermal-balloon-and-microwave-endometrial-ablation-techniques-for-heavy-menstrual-bleeding-pdf-2294765236933
79,Newer drugs for epilepsy in children,newer drugs,28 April 2004,,https://www.nice.org.uk/guidance/ta79,https://www.nice.org.uk/guidance/ta79/resources/ta79.pdf
80,Clopidogrel in the treatment of non-ST-segment-elevation acute coronary syndrome,clopidogrel in the treatment of non-st-segment-elevation acute coronary syndrome,28 July 2004,,https://www.nice.org.uk/guidance/ta80,https://www.nice.org.uk/guidance/ta80/resources/ta80.pdf
81,Frequency of application of topical corticosteroids for atopic eczema,frequency of application of topical corticosteroids,25 August 2004,,https://www.nice.org.uk/guidance/ta81,https://www.nice.org.uk/guidance/ta81/resources/frequency-of-application-of-topical-corticosteroids-for-atopic-eczema-pdf-2294813945797
82,Tacrolimus and pimecrolimus for atopic eczema,tacrolimus,25 August 2004,Recommended,https://www.nice.org.uk/guidance/ta82,https://www.nice.org.uk/guidance/ta82/resources/tacrolimus-and-pimecrolimus-for-atopic-eczema-pdf-2294815625413
83,Laparoscopic surgery for inguinal hernia repair,laparoscopic surgery,22 September 2004,,https://www.nice.org.uk/guidance/ta83,https://www.nice.org.uk/guidance/ta83/resources/laparoscopic-surgery-for-inguinal-hernia-repair-pdf-2294817305029
84,Drotrecogin alfa (activated) for severe sepsis,drotrecogin alfa (activated),22 September 2004,,https://www.nice.org.uk/guidance/ta84,https://www.nice.org.uk/guidance/ta84/resources/ta84.pdf
85,Immunosuppressive therapy for renal transplantation in adults,immunosuppressive therapy,22 September 2004,,https://www.nice.org.uk/guidance/ta85,https://www.nice.org.uk/guidance/ta85/resources/ta85.pdf
86,Imatinib for the treatment of unresectable and/or metastatic gastro-intestinal stromal tumours,imatinib,27 October 2004,,https://www.nice.org.uk/guidance/ta86,https://www.nice.org.uk/guidance/ta86/resources/imatinib-for-the-treatment-of-unresectable-andor-metastatic-gastrointestinal-stromal-tumours-pdf-2294822343877
87,The clinical effectiveness and cost effectiveness of technologies for the secondary prevention of osteoporotic fractures in postmenopausal women,the clinical effectiveness,26 January 2005,,https://www.nice.org.uk/guidance/ta87,https://www.nice.org.uk/guidance/ta87/resources/ta87.pdf
88,Dual‑chamber pacemakers for symptomatic bradycardia due to sick sinus syndrome and/or atrioventricular block,dual‑chamber pacemakers,23 February 2005,,https://www.nice.org.uk/guidance/ta88,https://www.nice.org.uk/guidance/ta88/resources/dualchamber-pacemakers-for-symptomatic-bradycardia-due-to-sick-sinus-syndrome-andor-atrioventricular-block-pdf-2294825703109
89,The use of autologous chondrocyte implantation for the treatment of cartilage defects in the knee joints,the use of autologous chondrocyte implantation,25 May 2005,,https://www.nice.org.uk/guidance/ta89,https://www.nice.org.uk/guidance/ta89/resources/ta89.pdf
90,Clopidogrel and modified-release dipyridamole in the prevention of occlusive vascular events,clopidogrel,25 May 2005,,https://www.nice.org.uk/guidance/ta90,https://www.nice.org.uk/guidance/ta90/resources/ta90.pdf
91,"Paclitaxel, pegylated liposomal doxorubicin hydrochloride and topotecan for second-line or subsequent treatment of advanced ovarian cancer","paclitaxel, pegylated liposomal doxorubicin hydrochloride",25 May 2005,,https://www.nice.org.uk/guidance/ta91,https://www.nice.org.uk/guidance/ta91/resources/ta91.pdf
92,HealOzone for the treatment of tooth decay (occlusal pit and fissure caries and root caries),healozone,27 July 2005,,https://www.nice.org.uk/guidance/ta92,https://www.nice.org.uk/guidance/ta92/resources/healozone-for-the-treatment-of-tooth-decay-occlusal-pit-and-fissure-caries-and-root-caries-pdf-2294876091589
93,"Colorectal cancer (advanced) - irinotecan, oxaliplatin and raltitrexed","colorectal cancer (advanced) - irinotecan, oxaliplatin",24 August 2005,,https://www.nice.org.uk/guidance/ta93,https://www.nice.org.uk/guidance/ta93/resources/ta93.pdf
94,Statins for the prevention of cardiovascular events,statins,25 January 2006,,https://www.nice.org.uk/guidance/ta94,https://www.nice.org.uk/guidance/ta94/resources/ta94.pdf
95,Implantable cardioverter defibrillators for arrhythmias,implantable cardioverter defibrillators,25 January 2006,,https://www.nice.org.uk/guidance/ta95,https://www.nice.org.uk/guidance/ta95/resources/ta95.pdf
96,Adefovir dipivoxil and peginterferon alfa-2a for the treatment of chronic hepatitis B,adefovir dipivoxil,22 February 2006,,https://www.nice.org.uk/guidance/ta96,https://www.nice.org.uk/guidance/ta96/resources/adefovir-dipivoxil-and-peginterferon-alfa2a-for-the-treatment-of-chronic-hepatitis-b-pdf-2294882810053
97,Computerised cognitive behaviour therapy for depression and anxiety,computerised cognitive behaviour therapy,22 February 2006,,https://www.nice.org.uk/guidance/ta97,https://www.nice.org.uk/guidance/ta97/resources/ta97.pdf
98,"Methylphenidate, atomoxetine and dexamfetamine for attention deficit hyperactivity disorder (ADHD) in children and adolescents","methylphenidate, atomoxetine",22 March 2006,,https://www.nice.org.uk/guidance/ta98,https://www.nice.org.uk/guidance/ta98/resources/ta98.pdf
99,Immunosuppressive therapy for renal transplantation in children and adolescents,immunosuppressive therapy,26 April 2006,,https://www.nice.org.uk/guidance/ta99,https://www.nice.org.uk/guidance/ta99/resources/ta99.pdf
100,Capecitabine and oxaliplatin in the adjuvant treatment of stage 3 (Dukes' C) colon cancer,capecitabine,26 April 2006,,https://www.nice.org.uk/guidance/ta100,https://www.nice.org.uk/guidance/ta100/resources/capecitabine-and-oxaliplatin-in-the-adjuvant-treatment-of-stage-3-dukes-c-colon-cancer-pdf-82598005694149
101,Docetaxel for the treatment of hormone-refractory metastatic prostate cancer,docetaxel,28 June 2006,,https://www.nice.org.uk/guidance/ta101,https://www.nice.org.uk/guidance/ta101/resources/docetaxel-for-the-treatment-of-hormonerefractory-metastatic-prostate-cancer-pdf-82598007373765
102,Parent-training/education programmes in the management of children with conduct disorders,parent-training/education programmes in the management of children with conduct disorders,26 July 2006,,https://www.nice.org.uk/guidance/ta102,https://www.nice.org.uk/guidance/ta102/resources/ta102.pdf
103,Etanercept and efalizumab for treating moderate to severe plaque psoriasis,etanercept,26 July 2006,,https://www.nice.org.uk/guidance/ta103,https://www.nice.org.uk/guidance/ta103/resources/etanercept-and-efalizumab-for-treating-moderate-to-severe-plaque-psoriasis-pdf-82598010732997
104,Etanercept and infliximab for the treatment of psoriatic arthritis,etanercept,26 July 2006,,https://www.nice.org.uk/guidance/ta104,https://www.nice.org.uk/guidance/ta104/resources/ta104.pdf
105,Laparoscopic surgery for colorectal cancer,laparoscopic surgery,23 August 2006,,https://www.nice.org.uk/guidance/ta105,https://www.nice.org.uk/guidance/ta105/resources/laparoscopic-surgery-for-colorectal-cancer-pdf-82598014092229
106,Peginterferon alfa and ribavirin for the treatment of mild chronic hepatitis C,peginterferon alfa,23 August 2006,,https://www.nice.org.uk/guidance/ta106,https://www.nice.org.uk/guidance/ta106/resources/peginterferon-alfa-and-ribavirin-for-the-treatment-of-mild-chronic-hepatitis-c-pdf-82598015771845
107,Trastuzumab for the adjuvant treatment of early-stage HER2-positive breast cancer,trastuzumab,23 August 2006,,https://www.nice.org.uk/guidance/ta107,https://www.nice.org.uk/guidance/ta107/resources/ta107.pdf
108,Paclitaxel for the adjuvant treatment of early node-positive breast cancer,paclitaxel,27 September 2006,,https://www.nice.org.uk/guidance/ta108,https://www.nice.org.uk/guidance/ta108/resources/ta108.pdf
109,Docetaxel for the adjuvant treatment of early node-positive breast cancer,docetaxel,26 September 2006,,https://www.nice.org.uk/guidance/ta109,https://www.nice.org.uk/guidance/ta109/resources/ta109.pdf
110,Rituximab for the treatment of follicular lymphoma,rituximab,27 September 2006,,https://www.nice.org.uk/guidance/ta110,https://www.nice.org.uk/guidance/ta110/resources/ta110.pdf
111,"Donepezil, galantamine, rivastigmine and memantine for the treatment of Alzheimer's disease","donepezil, galantamine, rivastigmine",22 November 2006,,https://www.nice.org.uk/guidance/ta111,https://www.nice.org.uk/guidance/ta111/resources/ta111.pdf
112,Hormonal therapies for the adjuvant treatment of early oestrogen-receptor-positive breast cancer,hormonal therapies,22 November 2006,,https://www.nice.org.uk/guidance/ta112,https://www.nice.org.uk/guidance/ta112/resources/ta112.pdf
113,Inhaled insulin for the treatment of type 1 and type 2 diabetes,inhaled insulin,13 December 2006,,https://www.nice.org.uk/guidance/ta113,https://www.nice.org.uk/guidance/ta113/resources/ta113.pdf
114,Methadone and buprenorphine for the management of opioid dependence,methadone,24 January 2007,,https://www.nice.org.uk/guidance/ta114,https://www.nice.org.uk/guidance/ta114/resources/methadone-and-buprenorphine-for-the-management-of-opioid-dependence-pdf-82598072878789
115,Naltrexone for the management of opioid dependence,naltrexone,24 January 2007,,https://www.nice.org.uk/guidance/ta115,https://www.nice.org.uk/guidance/ta115/resources/naltrexone-for-the-management-of-opioid-dependence-pdf-82598074558405
116,Gemcitabine for the treatment of metastatic breast cancer,gemcitabine,24 January 2007,,https://www.nice.org.uk/guidance/ta116,https://www.nice.org.uk/guidance/ta116/resources/gemcitabine-for-the-treatment-of-metastatic-breast-cancer-pdf-82598076238021
117,Cinacalcet for the treatment of secondary hyperparathyroidism in patients with end-stage renal disease on maintenance dialysis therapy,cinacalcet,24 January 2007,,https://www.nice.org.uk/guidance/ta117,https://www.nice.org.uk/guidance/ta117/resources/cinacalcet-for-the-treatment-of-secondary-hyperparathyroidism-in-patients-with-endstage-renal-disease-on-maintenance-dialysis-therapy-pdf-82598077917637
118,Bevacizumab and cetuximab for the treatment of metastatic colorectal cancer,bevacizumab,24 January 2007,,https://www.nice.org.uk/guidance/ta118,https://www.nice.org.uk/guidance/ta118/resources/ta118.pdf
119,Fludarabine monotherapy for the first-line treatment of chronic lymphocytic leukaemia,fludarabine monotherapy,28 February 2007,,https://www.nice.org.uk/guidance/ta119,https://www.nice.org.uk/guidance/ta119/resources/fludarabine-monotherapy-for-the-firstline-treatment-of-chronic-lymphocytic-leukaemia-pdf-82598081276869
