drug,year,month,pbac_date,filename
fentanyl-sublingual-tablet,2014,3,2014-03-01,fentanyl-sublingual-tablet-psd-03-2014.pdf
ferric-carboxymaltose,2013,3,2013-03-01,ferric-carboxymaltose-psd-03-2013.pdf
ferric-carboxymaltose,2013,11,2013-11-01,ferric-carboxymaltose-psd-11-2013.pdf
ferric-carboxymaltose,2018,11,2018-11-01,ferric-carboxymaltose-psd-november-2018.pdf
ferric-derisomaltose,2019,7,2019-07-01,ferric-derisomaltose-psd-07-2019-addendum-08-2019.docx.pdf
ferric-derisomaltose,2018,7,2018-07-01,ferric-derisomaltose-psd-july-2018.pdf
ferric-derisomaltose,2019,7,2019-07-01,ferric-derisomaltose-psd-july-2019.pdf
fezolinetant,2025,3,2025-03-01,fezolinetant-psd-march-2025.pdf
fezolinetant,2025,11,2025-11-01,fezolinetant-psd-november-2025.pdf
filgrastim,2018,3,2018-03-01,filgrastim-psd-march-2018.pdf
flucloxacillin,2015,11,2015-11-01,flucloxacillin-psd-november-2015.pdf
fluticasone-furoate,2019,7,2019-07-01,fluticasone-furoate-psd-july-2019.pdf
fluticasone-furoate,2017,3,2017-03-01,fluticasone-furoate-psd-march-2017.pdf
fluticasone-furoate-umeclidinium-vilanterol,2017,12,2017-12-01,fluticasone-furoate-umeclidinium-vilanterol-psd-12-2017.pdf
fluticasone-propionate,2013,7,2013-07-01,fluticasone-propionate-psd-07-2013.pdf
fluticasone-propionate-salmeterol,2023,11,2023-11-01,fluticasone-propionate-salmeterol-psd-nov-2023.pdf
fluticasone-propionate-with-eformoterol,2018,11,2018-11-01,fluticasone-propionate-with-eformoterol-psd-november-2018.pdf
fluticasone,2014,7,2014-07-01,fluticasone-psd-07-2014.pdf
fluticasone,2019,3,2019-03-01,fluticasone-psd-march-2019.pdf
fluticasone,2015,11,2015-11-01,fluticasone-psd-november-2015.pdf
fluticasone-salmeterol,2016,11,2016-11-01,fluticasone-salmeterol-psd-november-2016.pdf
fluticasone-umeclidinium-vilanterol,2021,11,2021-11-01,fluticasone-umeclidinium-vilanterol-psd-nov-2021.pdf
fluticasone-vilanterol-copd,2014,3,2014-03-01,fluticasone-vilanterol-copd-psd-03-2014.pdf
fluticasone-vilanterol,2014,3,2014-03-01,fluticasone-vilanterol-psd-03-2014.pdf
follitropin-alfa,2021,11,2021-11-01,follitropin%20alfa-psd-november-2021.pdf
follitropin-alfa-and-lutropin-alfa,2024,11,2024-11-01,follitropin-alfa-and-lutropin-alfa-psd-nov-2024.pdf
follitropin-alfa-lutropin-alfa-and-lutropin-alfa,2016,3,2016-03-01,follitropin-alfa-lutropin-alfa-and-lutropin-alfa-psd-march-2016.pdf
follitropin-alfa-lutropin-alfa,2015,3,2015-03-01,follitropin-alfa-lutropin-alfa-psd-march-2015.pdf
follitropin-alfa,2021,7,2021-07-01,follitropin-alfa-psd-july-2021.pdf
follitropin-alfa,2016,3,2016-03-01,follitropin-alfa-psd-march-2016.pdf
follitropin-alfa,2018,3,2018-03-01,follitropin-alfa-psd-march-2018.pdf
follitropin-alfa-with-lutropin-alfa,2018,11,2018-11-01,follitropin-alfa-with-lutropin-alfa-psd-november-2018.pdf
follitropin-delta,2017,11,2017-11-01,follitropin-delta-psd-november-2017.pdf
follitropin,2014,3,2014-03-01,follitropin-psd-03-2014.pdf
fosaprepitant,2016,11,2016-11-01,fosaprepitant-psd-november-2016.pdf
foslevodopa-foscarbidopa,2024,11,2024-11-01,foslevodopa-foscarbidopa-psd-nov-2024.pdf
fosnetupitant-palonosetron,2023,3,2023-03-01,fosnetupitant-palonosetron-psd-03-2023.pdf
fosnetupitant,2020,7,2020-07-01,fosnetupitant-psd-july-2020.pdf
futibatinib,2025,7,2025-07-01,futibatinib-psd-july-2025-november-2025.pdf
futibatinib,2025,3,2025-03-01,futibatinib-psd-march-2025.pdf
galsulfase-rch-naglazyme-5.5--biomarin-pharmaceuticals,2007,7,2007-07-01,GALSULFASE-rch%20Naglazyme%205.5%20%20BioMarin%20Pharmaceuticals%20PSD%20FINAL%202007-07.pdf
garadacimab,2024,11,2024-11-01,garadacimab-psd-nov-2024.pdf
givosiran,2025,7,2025-07-01,givosiran-psd-july-2025-november-2025.pdf
glatiramer,2017,7,2017-07-01,glatiramer-psd-july-2017.pdf
glatiramer,2021,3,2021-03-01,glatiramer-psd-mar-2021.pdf
glatiramer,2015,3,2015-03-01,glatiramer-psd-march-2015.pdf
glatiramer,2022,3,2022-03-01,glatiramer-psd-march-2022.pdf
glecaprevir-with-pibrentasvir,2017,7,2017-07-01,glecaprevir-with-pibrentasvir-psd-july-2017.pdf
glecaprevir-with-pibrentasvir,2020,11,2020-11-01,glecaprevir-with-pibrentasvir-psd-nov-2020.pdf
glecaprevir-with-pibrentasvir,2017,11,2017-11-01,glecaprevir-with-pibrentasvir-psd-november-2017.pdf
glucose-indicator-blood-infopia,2014,11,2014-11-01,glucose-indicator-blood-infopia-psd-11-2014.pdf
glucose-indicator-blood,2016,3,2016-03-01,glucose-indicator-blood-psd-march-2016.pdf
glucose-indicator-blood,2015,11,2015-11-01,glucose-indicator-blood-psd-november-2015.pdf
glucose-indicator-blood-uhealth,2014,11,2014-11-01,glucose-indicator-blood-uhealth-psd-11-2014.pdf
glucose-indicator-swr,2014,7,2014-07-01,glucose-indicator-swr-psd-07-2014.pdf
glycine-carbohydrates,2014,7,2014-07-01,glycine-carbohydrates-psd-07-2014.pdf
glycomacropeptide-and-essential-amino-acids,2015,3,2015-03-01,glycomacropeptide-and-essential-amino-acids-psd-march-2015.pdf
glycomacropeptide-and-essential-amino-acids,2018,11,2018-11-01,glycomacropeptide-and-essential-amino-acids-psd-november-2018.pdf
glycomacropeptide-and-essential-amino-acids-with-vitamins-and-minerals-pku-glytactin-rtd-camino-pro-bettermilk,2023,3,2023-03-01,glycomacropeptide-and-essential-amino-acids-with-vitamins-and-minerals-pku-glytactin-rtd-camino-pro-bettermilk-psd-03-2023.pdf
glycomacropeptide-and-essential-amino-acids-with-vitamins-and-minerals-tylactin-rtd,2023,3,2023-03-01,glycomacropeptide-and-essential-amino-acids-with-vitamins-and-minerals-tylactin-rtd-psd-03-2023.pdf
glycomacropeptide-formula-pku-build,2019,11,2019-11-01,glycomacropeptide-formula-pku-build-psd-november-2019.pdf
glycomacropeptide-formula-pku-gmpro-lq,2019,7,2019-07-01,glycomacropeptide-formula-pku-gmpro-lq-psd-july-2019.pdf
glycomacropeptide-formula-pku-restore,2016,11,2016-11-01,glycomacropeptide-formula-pku-restore-psd-november-2016.pdf
glycomacropeptide-formula-pku-sphere,2022,11,2022-11-01,glycomacropeptide-formula-pku-sphere-psd-11-2022.pdf
glycomacropeptide-formula-pku-sphere,2017,7,2017-07-01,glycomacropeptide-formula-pku-sphere-psd-july-2017.pdf
glycomacropeptide-formula-pku-sphere,2016,11,2016-11-01,glycomacropeptide-formula-pku-sphere-psd-november-2016.pdf
glycomacropeptide-formula,2016,7,2016-07-01,glycomacropeptide-formula-psd-july-2016.pdf
glycomacropeptide-formula-tyr-sphere,2019,7,2019-07-01,glycomacropeptide-formula-tyr-sphere-psd-july-2019.pdf
glycomacropeptide-formula-with-amino-acids-and-low-phenylalanine,2022,3,2022-03-01,glycomacropeptide-formula-with-amino-acids-and-low-phenylalanine-psd-march-2022.pdf
glycomacropeptide-formula-with-amino-acids,2022,3,2022-03-01,glycomacropeptide-formula-with-amino-acids-psd-march-2022.pdf
glycomacropeptide-formula-with-docosahexaenoic-acid-with-low-phenylalanine,2018,11,2018-11-01,glycomacropeptide-formula-with-docosahexaenoic-acid-with-low-phenylalanine-psd-november-2018.pdf
glycomacropeptide-pku-build-10,2024,11,2024-11-01,glycomacropeptide-pku-build-10-psd-nov-2024.pdf
glycomacropeptide-pku-build,2017,11,2017-11-01,glycomacropeptide-pku-build-psd-november-2017.pdf
glycomacropeptide,2015,7,2015-07-01,glycomacropeptide-psd-july-2015.pdf
glycomacropeptide,2020,7,2020-07-01,glycomacropeptide-psd-july-2020.pdf
glycomacropeptide,2015,11,2015-11-01,glycomacropeptide-psd-november-2015.pdf
glycomacropeptide-tylactin-complete,2017,11,2017-11-01,glycomacropeptide-tylactin-complete-psd-november-2017.pdf
glycopyrronium,2013,11,2013-11-01,glycopyrronium-psd-11-2013.pdf
glycopyrronium,2015,11,2015-11-01,glycopyrronium-psd-november-2015.pdf
glycopyrronium,2025,11,2025-11-01,glycopyrronium-psd-november-2025.pdf
gonadotrophin,2016,3,2016-03-01,gonadotrophin-psd-march-2016.pdf
gonadotrophin,2016,11,2016-11-01,gonadotrophin-psd-november-2016.pdf
goserelin,2017,7,2017-07-01,goserelin-psd-july-2017.pdf
goserelin,2017,3,2017-03-01,goserelin-psd-march-2017.pdf
goserelin,2016,11,2016-11-01,goserelin-psd-november-2016.pdf
grazoprevir-elbasvir,2016,7,2016-07-01,grazoprevir-elbasvir-psd-july-2016.pdf
grazoprevir-elbasvir,2018,3,2018-03-01,grazoprevir-elbasvir-psd-march-2018.pdf
guanfacine,2018,7,2018-07-01,guanfacine-psd-july-2018.pdf
hepatitis-b-surface-antigen-recombinant-vaccine-engerix-b,2018,7,2018-07-01,hepatitis-b-surface-antigen-recombinant-vaccine-engerix-b-psd-july-2018.pdf
high-fat-formula-k.yo,2021,3,2021-03-01,high%20fat%20formula-K.Yo-psd-mar-2021.pdf
high-dose-trivalent-influenza-vaccine,2019,11,2019-11-01,high-dose-trivalent-influenza-vaccine-psd-november-2019.pdf
high-fat-formula-ketocal,2021,3,2021-03-01,high-fat-formula-KetoCal-psd-mar-2021.pdf
high-fat-formula-ketovie-peptide,2021,7,2021-07-01,high-fat-formula-ketovie-peptide-psd-july-2021.pdf
high-fat-formula-ketovie,2023,3,2023-03-01,high-fat-formula-ketovie-psd-03-2023.pdf
high-fat-formula-keyo,2016,11,2016-11-01,high-fat-formula-keyo-psd-november-2016.pdf
high-fat-formula,2020,11,2020-11-01,high-fat-formula-psd-nov-2020.pdf
high-fat-formula-with-vitamins-and-minerals-and-trace-elements-ketocal,2015,11,2015-11-01,high-fat-formula-with-vitamins-and-minerals-and-trace-elements-ketocal-psd-november-2015.pdf
honey-bee-yellow-jacket-and-paper-wasp-venom,2016,3,2016-03-01,honey-bee-yellow-jacket-and-paper-wasp-venom-psd-march-2016.pdf
house-dust-mite,2016,7,2016-07-01,house-dust-mite-psd-july-2016.pdf
hpv-vaccine,2022,12,2022-12-01,hpv-vaccine-psd-12-2022.pdf
hpv-vaccine,2015,11,2015-11-01,hpv-vaccine-psd-november-2015.pdf
human-menopausal-gonadotrophin,2022,7,2022-07-01,human-menopausal-gonadotrophin-psd-july-2022.pdf
human-papillomavirus-9v-vaccine,2017,7,2017-07-01,human-papillomavirus-9v-vaccine-psd-july-2017.pdf
hyaluronic-acid-with-polyethylene-glycol-400-with-propylene-glycol,2023,3,2023-03-01,hyaluronic-acid-with-polyethylene-glycol-400-with-propylene-glycol-psd-03-2023-05-2023.pdf
hydrocortisone,2021,7,2021-07-01,hydrocortisone-psd-july-2021.pdf
hydromorphone-hydrochloride,2018,3,2018-03-01,hydromorphone-hydrochloride-psd-march-2018.pdf
hypromellose,2021,7,2021-07-01,hypromellose-psd-july-2021.pdf
hypromellose,2018,11,2018-11-01,hypromellose-psd-november-2018.pdf
icatibant,2017,7,2017-07-01,icatibant-psd-july-2017.pdf
icatibant,2016,11,2016-11-01,icatibant-psd-november-2016.pdf
inactivated-influenza-vaccine-surface-antigen,2018,3,2018-03-01,inactivated-influenza-vaccine-surface-antigen-psd-march-2018.pdf
inactivated-quadrivalent-influenza-vaccine,2018,11,2018-11-01,inactivated-quadrivalent-influenza-vaccine-psd-november-2018.pdf
inactivated-quadrivalent-influenza-vaccine,2019,11,2019-11-01,Inactivated-quadrivalent-influenza-vaccine-psd-november-2019.pdf
inactivated-trivalent-influenza-vaccine-tiv-hd-split-virion,2018,3,2018-03-01,inactivated-trivalent-influenza-vaccine-tiv-hd-split-virion-psd-march-2018.pdf
incobotulinumtoxin-a,2019,11,2019-11-01,incobotulinumtoxin-a-psd-november-2019.pdf
incobotulinumtoxin,2014,7,2014-07-01,incobotulinumtoxin-psd-07-2014.pdf
incobotulinumtoxina,2025,7,2025-07-01,incobotulinumtoxinA-psd-july-2025.pdf
incobotulinumtoxina,2024,11,2024-11-01,incobotulinumtoxina-psd-nov-2024-may-2025.pdf
indacaterol-glycopyrronium-mometasone,2020,7,2020-07-01,indacaterol-glycopyrronium-mometasone-psd-july-2020-addendum.pdf
indacaterol-glycopyrronium,2014,7,2014-07-01,indacaterol-glycopyrronium-psd-07-2014.pdf
indacaterol,2014,3,2014-03-01,indacaterol-psd-03-2014.pdf
indacterol-with-mometasone,2020,7,2020-07-01,indacterol-with-mometasone-psd-july-2020.pdf
influenza-quadrivalent-and-adjuvanted-trivalent-vaccines,2019,7,2019-07-01,influenza-quadrivalent-and-adjuvanted-trivalent-vaccines-psd-july-2019.pdf
influenza-quadrivalent-vaccine,2019,7,2019-07-01,influenza-quadrivalent-vaccine-psd-july-2019.pdf
influenza-vaccine-flublok,2024,3,2024-03-01,influenza-vaccine-flublok-psd-march-2024.pdf
influenza-vaccine-flucelvax,2024,3,2024-03-01,influenza-vaccine-flucelvax-psd-march-2024.pdf
influenza-vaccine,2016,8,2016-08-01,influenza-vaccine-psd-august-2016.pdf
influenzavaccine,2015,3,2015-03-01,influenzavaccine-psd-march-2015.pdf
ingenol,2014,7,2014-07-01,ingenol-psd-07-2014.pdf
ingenol,2013,11,2013-11-01,ingenol-psd-11-2013.pdf
insect-allergen-extract-honey-bee-venom,2018,7,2018-07-01,insect-allergen-extract-honey-bee-venom-psd-july-2018.pdf
insulin-degludec,2025,7,2025-07-01,insulin degludec-psd-july-2025.pdf
insulin-aspart,2021,11,2021-11-01,insulin-aspart-psd-nov-2021.pdf
insulin-aspart,2018,11,2018-11-01,insulin-aspart-psd-november-2018.pdf
insulin-degludec-with-insulin-aspart,2018,3,2018-03-01,insulin-degludec-with-insulin-aspart-psd-march-2018.pdf
insulin-degludec-with-insulin-aspart,2017,11,2017-11-01,insulin-degludec-with-insulin-aspart-psd-november-2017.pdf
insulin-glargine-biosimilar,2015,11,2015-11-01,insulin-glargine-biosimilar-psd-november-2015.pdf
insulin-glargine,2015,7,2015-07-01,insulin-glargine-psd-july-2015.pdf
insulin-glargine,2018,7,2018-07-01,insulin-glargine-psd-july-2018.pdf
insulin-glargine,2015,3,2015-03-01,insulin-glargine-psd-march-2015.pdf
insulin-glargine-with-lixisenatide,2019,3,2019-03-01,insulin-glargine-with-lixisenatide-psd-march-2019.pdf
insulin-lispro,2017,11,2017-11-01,insulin-lispro-psd-november-2017.pdf
iptacopan,2024,7,2024-07-01,iptacopan-psd-july-2024.pdf
iptacopan,2025,11,2025-11-01,iptacopan-psd-november-2025.pdf
irinotecan-nanoliposomal,2024,3,2024-03-01,irinotecan-nanoliposomal-psd-march-2024.pdf
irinotecan-nanoliposomal,2016,11,2016-11-01,irinotecan-nanoliposomal-psd-november-2016.pdf
iron-chelating-agents,2014,11,2014-11-01,iron-chelating-agents-psd-11-2014.pdf
iron-sucrose,2014,11,2014-11-01,iron-sucrose-psd-11-2014.pdf
isotretinoin,2018,11,2018-11-01,isotretinoin-psd-november-2018.pdf
isotretinoin,2019,11,2019-11-01,isotretinoin-psd-november-2019.pdf
itraconazole,2014,11,2014-11-01,itraconazole-psd-11-2014.pdf
itraconazole,2015,11,2015-11-01,itraconazole-psd-november-2015.pdf
ivermectin,2014,3,2014-03-01,ivermectin-psd-03-2014.pdf
lacosamide,2021,3,2021-03-01,lacosamide-psd-mar-2021.pdf
lacosamide,2015,3,2015-03-01,lacosamide-psd-march-2015.pdf
lacosamide,2018,11,2018-11-01,lacosamide-psd-november-2018.pdf
lanreotide-gep-nets,2017,11,2017-11-01,lanreotide-gep-nets-psd-november-2017.pdf
lanreotide,2022,11,2022-11-01,lanreotide-psd-11-2022.pdf
lanreotide,2017,7,2017-07-01,lanreotide-psd-july-2017.pdf
lanreotide,2024,7,2024-07-01,lanreotide-psd-july-2024.pdf
lanreotide,2019,3,2019-03-01,lanreotide-psd-march-2019.pdf
lanreotide,2015,11,2015-11-01,lanreotide-psd-november-2015.pdf
lanreotide,2016,11,2016-11-01,lanreotide-psd-november-2016.pdf
lanreotide,2017,11,2017-11-01,lanreotide-psd-november-2017.pdf
lebrikizumab,2024,3,2024-03-01,lebrikizumab-psd-march-2024.pdf
lenacapavir,2022,11,2022-11-01,lenacapavir-psd-11-2022.pdf
lenacapavir,2023,11,2023-11-01,lenacapavir-psd-nov-2023.pdf
leniolisib,2025,7,2025-07-01,leniolisib-psd-july-2025.pdf
leuprorelin-30-mg,2015,7,2015-07-01,leuprorelin-30-mg-psd-july-2015.pdf
leuprorelin-45-mg,2015,7,2015-07-01,leuprorelin-45-mg-psd-july-2015.pdf
leuprorelin-and-bicalutamide,2016,7,2016-07-01,leuprorelin-and-bicalutamide-psd-july-2016.pdf
leuprorelin,2014,11,2014-11-01,leuprorelin-psd-11-2014.pdf
leuprorelin,2019,7,2019-07-01,leuprorelin-psd-july-2019.pdf
leuprorelin,2022,7,2022-07-01,leuprorelin-psd-july-2022.pdf
leuprorelin,2016,3,2016-03-01,leuprorelin-psd-march-2016.pdf
leuprorelin,2024,11,2024-11-01,leuprorelin-psd-nov-2024.pdf
levodopa-and-carbidopa,2019,11,2019-11-01,levodopa-and-carbidopa-psd-november-2019.pdf
levodopa-with-carbidopa-and-entacapone,2024,7,2024-07-01,levodopa-with-carbidopa-and-entacapone-psd-july-2024.pdf
levodopa-with-carbidopa-and-entacapone,2024,3,2024-03-01,levodopa-with-carbidopa-and-entacapone-psd-march-2024.pdf
levodopa-with-carbidopa,2016,11,2016-11-01,levodopa-with-carbidopa-psd-november-2016.pdf
levonorgestrel,2014,3,2014-03-01,levonorgestrel-psd-03-2014.pdf
levonorgestrel,2013,7,2013-07-01,levonorgestrel-psd-07-2013.pdf
levonorgestrel,2019,3,2019-03-01,levonorgestrel-psd-march-2019.pdf
lignocaine,2015,3,2015-03-01,lignocaine-psd-march-2015.pdf
linagliptin,2013,3,2013-03-01,linagliptin-psd-03-2013.pdf
linagliptin,2013,4,2013-04-01,linagliptin-psd-04-2013.pdf
linagliptin-triple,2016,3,2016-03-01,linagliptin-triple-psd-march-2016.pdf
linagliptin-with-insulin,2016,3,2016-03-01,linagliptin-with-insulin-psd-march-2016.pdf
linezolid,2013,7,2013-07-01,linezolid-psd-07-2013.pdf
linzagolix,2024,7,2024-07-01,linzagolix-psd-july-2024.pdf
lipegfilgrastim,2016,3,2016-03-01,lipegfilgrastim-psd-march-2016.pdf
lisdexamfetamine,2013,7,2013-07-01,lisdexamfetamine-psd-07-2013.pdf
lisdexamfetamine,2014,7,2014-07-01,lisdexamfetamine-psd-07-2014.pdf
lisdexamfetamine,2019,7,2019-07-01,lisdexamfetamine-psd-july-2019.pdf
lisdexamfetamine,2020,3,2020-03-01,lisdexamfetamine-psd-march-2020.pdf
lixisenatide-dual-triple-therapy,2014,7,2014-07-01,lixisenatide-dual-triple-therapy-psd-07-2014.pdf
lixisenatide-with-insulin,2014,7,2014-07-01,lixisenatide-with-insulin-psd-07-2014.pdf
lumacaftor-ivacaftor,2023,7,2023-07-01,lumacaftor%20ivacaftor-psd-july-2023.pdf
lumacaftor-ivacaftor-age-6-11,2018,7,2018-07-01,lumacaftor-ivacaftor-age-6-11-psd-july-2018.docx.pdf
lumacaftor-ivacaftor,2021,12,2021-12-01,lumacaftor-ivacaftor-psd-december-2021.pdf
lumacaftor-ivacaftor,2017,7,2017-07-01,lumacaftor-ivacaftor-psd-july-2017.pdf
lumacaftor-ivacaftor,2019,7,2019-07-01,lumacaftor-ivacaftor-psd-july-2019.pdf
lumacaftor-ivacaftor,2021,7,2021-07-01,lumacaftor-ivacaftor-psd-july-2021.pdf
lumacaftor-ivacaftor,2016,3,2016-03-01,lumacaftor-ivacaftor-psd-march-2016.pdf
lumacaftor-ivacaftor,2016,11,2016-11-01,lumacaftor-ivacaftor-psd-november-2016.pdf
lumacaftor-with-ivacaftor-age-12-over,2018,7,2018-07-01,lumacaftor-with-ivacaftor-age-12-over-psd-july-2018.docx.pdf
lumasiran,2025,3,2025-03-01,lumasiran-psd-march-2025.pdf
lurasidone,2014,3,2014-03-01,lurasidone-psd-03-2014.pdf
lurasidone,2015,3,2015-03-01,lurasidone-psd-march-2015.pdf
lurbinectedin,2025,11,2025-11-01,lurbinectedin-psd-november-2025.pdf
lutropin-alfa,2015,3,2015-03-01,lutropin-alfa-psd-march-2015.pdf
macitentan,2014,3,2014-03-01,macitentan-psd-03-2014.pdf
mecasermin,2022,3,2022-03-01,mecasermin-psd-march-2022.pdf
mecasermin,2021,11,2021-11-01,mecasermin-psd-november-2021.pdf
medium-and-long-chain-triglycerides-betaquik-carbzero,2017,3,2017-03-01,medium-and-long-chain-triglycerides-betaquik-carbzero-psd-march-2017.pdf
medium-chain-triglycerides,2017,11,2017-11-01,medium-chain-triglycerides-psd-november-2017.pdf
medroxyprogesterone-acetate,2023,11,2023-11-01,medroxyprogesterone-acetate-psd-nov-2023.pdf
melatonin,2021,7,2021-07-01,melatonin-psd-jul-2021.pdf
melatonin,2021,3,2021-03-01,melatonin-psd-mar-2021.pdf
men-acwy-vaccine-adolescents,2018,3,2018-03-01,men-acwy-vaccine-adolescents-psd-march-2018.pdf
men-acwy-vaccine-infants,2018,3,2018-03-01,men-acwy-vaccine-infants-psd-march-2018.pdf
meningococcal-acwy-crm,2018,7,2018-07-01,meningococcal-acwy-crm-psd-07-2018-with-addendum-08-2018.pdf
meningococcal-acwy-tt,2018,3,2018-03-01,meningococcal-acwy-tt-psd-03-2018-addendum-08-2018.docx.pdf
meningococcal-oligosaccharide-conjugate-vaccine-adolescents,2018,7,2018-07-01,meningococcal-oligosaccharide-conjugate-vaccine-adolescents-psd-july-2018.pdf
meningococcal-vaccine,2014,7,2014-07-01,meningococcal-vaccine-psd-07-2014.pdf
meningococcal-vaccine,2013,11,2013-11-01,meningococcal-vaccine-psd-11-2013.pdf
meningococcal-vaccine,2023,11,2023-11-01,meningococcal-vaccine-psd-nov-2023.pdf
menquadfi,2020,11,2020-11-01,menquadfi-psd-nov-2020.pdf
mercaptopurine,2014,11,2014-11-01,mercaptopurine-psd-11-2014.pdf
mesalazine-pentasa-4g,2014,11,2014-11-01,mesalazine-pentasa-4g-psd-11-2014.pdf
mesalazine,2018,7,2018-07-01,mesalazine-psd-july-2018.pdf
mesalazine,2017,3,2017-03-01,mesalazine-psd-march-2017.pdf
mesalazine,2020,3,2020-03-01,mesalazine-psd-march-2020.pdf
mesalazine,2020,11,2020-11-01,mesalazine-psd-nov-2020.pdf
mesalazine,2015,11,2015-11-01,mesalazine-psd-november-2015.pdf
mesalazine-salofalk-3g,2014,11,2014-11-01,mesalazine-salofalk-3g-psd-11-2014.pdf
metformin-saxagliptin,2013,11,2013-11-01,metformin-saxagliptin-psd-11-2013.pdf
metformin-sitagliptin,2013,11,2013-11-01,metformin-sitagliptin-psd-11-2013.pdf
methotrexate,2018,7,2018-07-01,methotrexate-psd-july-2018.pdf
methotrexate,2024,7,2024-07-01,methotrexate-psd-july-2024.pdf
methotrexate,2016,3,2016-03-01,methotrexate-psd-march-2016.pdf
methotrexate,2017,3,2017-03-01,methotrexate-psd-march-2017.pdf
methoxsalen,2017,7,2017-07-01,methoxsalen-psd-july-2017.pdf
methoxsalen,2021,7,2021-07-01,methoxsalen-psd-july-2021.pdf
methoxsalen,2020,5,2020-05-01,methoxsalen-psd-may-2020.pdf
methoxsalen,2021,9,2021-09-01,methoxsalen-psd-september-2021.pdf
midazolam,2022,11,2022-11-01,midazolam-psd-11-2022.pdf
midazolam,2022,7,2022-07-01,midazolam-psd-july-2022.pdf
midazolam,2023,11,2023-11-01,midazolam-psd-nov-2023.pdf
mifepristone-and-misoprostol,2023,3,2023-03-01,mifepristone-and-misoprostol-psd-03-2023.pdf
mifepristone-misoprostol,2013,3,2013-03-01,mifepristone-misoprostol-psd-03-2013.pdf
mifepristone,2014,7,2014-07-01,mifepristone-psd-07-2014.pdf
migalastat,2022,12,2022-12-01,migalastat-psd-12-2022.pdf
migalastat,2017,7,2017-07-01,migalastat-psd-july-2017.pdf
migalastat,2017,3,2017-03-01,migalastat-psd-march-2017.pdf
migalastat,2024,3,2024-03-01,migalastat-psd-march-2024-with-addendum-may-2024.pdf
migalastat,2017,11,2017-11-01,migalastat-psd-november-2017.pdf
milk-powder-lactose-intolerance-formula,2016,7,2016-07-01,milk-powder-lactose-intolerance-formula-psd-july-2016.pdf
milk-powder-synthetic-low-calcium,2020,7,2020-07-01,milk-powder-synthetic-low-calcium-psd-july-2020.pdf
milk-powder-synthetic,2024,7,2024-07-01,milk-powder-synthetic-psd-july-2024.pdf
milk-protein-and-fat-formula,2020,3,2020-03-01,milk-protein-and-fat-formula-psd-march-2020.pdf
mirvetuximab-soravtansine,2025,7,2025-07-01,mirvetuximab-soravtansine-psd-july-2025-november-2025.pdf
modafinil-armodafinil,2022,5,2022-05-01,modafinil-armodafinil-psd-may-2022.pdf
moga-correspondence-de-restriction,2014,11,2014-11-01,moga-correspondence-de-restriction-psd-11-2014.pdf
moga-correspondence-male-breast-cancer,2014,11,2014-11-01,moga-correspondence-male-breast-cancer-psd-11-2014.pdf
molnupiravir,2023,7,2023-07-01,molnupiravir-psd-july-2023-with-addendum-nov-2023.pdf
morphine,2024,7,2024-07-01,morphine-psd-july-2024.pdf
morphine,2016,3,2016-03-01,morphine-psd-march-2016.pdf
morphine,2019,3,2019-03-01,morphine-psd-march-2019.pdf
msac-outcomes-codependent-listings,2019,12,2019-12-01,msac-outcomes-codependent-listings-psd-december-2019.pdf
msud-anamix-junior,2014,11,2014-11-01,msud-anamix-junior-psd-11-2014.pdf
multi-component-meningococcal-group-b-vaccine,2015,7,2015-07-01,multi-component-meningococcal-group-b-vaccine-psd-july-2015.pdf
multicomponent-meningococcal-b-vaccine,2019,11,2019-11-01,multicomponent-meningococcal-b-vaccine-psd-november-2019.pdf
mupirocin,2019,7,2019-07-01,mupirocin-psd-july-2019.pdf
nabiximols,2013,7,2013-07-01,nabiximols-psd-07-2013.pdf
nabiximols,2020,3,2020-03-01,nabiximols-psd-march-2020.pdf
nadroparin-calcium,2015,7,2015-07-01,nadroparin-calcium-psd-july-2015.pdf
nadroparin,2016,11,2016-11-01,nadroparin-psd-november-2016.pdf
naloxone,2019,3,2019-03-01,naloxone-psd-march-2019.pdf
nandrolone-decanoate,2018,3,2018-03-01,nandrolone-decanoate-psd-march-2018.pdf
naproxen,2013,7,2013-07-01,naproxen-psd-07-2013.pdf
national-hepatitis-c-data-collection,2019,3,2019-03-01,national-hepatitis-c-data-collection-psd-march-2019.pdf
nemolizumab,2025,7,2025-07-01,nemolizumab-psd-july-2025.pdf
netupitant-and-palanosetron,2015,11,2015-11-01,netupitant-and-palanosetron-psd-november-2015.pdf
netupitant-and-palonosetron,2015,7,2015-07-01,netupitant-and-palonosetron-psd-july-2015.pdf
netupitant-palonosetron,2015,3,2015-03-01,netupitant-palonosetron-psd-march-2015.pdf
netupitant-plus-palonosetron,2016,11,2016-11-01,netupitant-plus-palonosetron-psd-november-2016.pdf
netupitant-with-palonosetron,2023,3,2023-03-01,netupitant-with-palonosetron-psd-03-2023.pdf
nicotine,2017,7,2017-07-01,nicotine-psd-july-2017.pdf
nicotine,2018,3,2018-03-01,nicotine-psd-march-2018.pdf
nirmatrelvir-and-ritonavir,2023,11,2023-11-01,nirmatrelvir-and-ritonavir-psd-nov-2023.pdf
nirsevimab,2024,7,2024-07-01,nirsevimab-psd-july-2024.pdf
