drug_name,atc_code,brand_name,pbs_code
polyethylene glycol-400 + propylene glycol,S01XA20,Systane,13100L
polylactic acid,V03AX,Sculptra,9475Q
pomalidomide,L04AX06,Pomolide,10386P
ponatinib,L01EA05,Iclusig,10520Q
posaconazole,J02AC04,Posaconazole Juno,10460M
potassium chloride,A12BA01,Span-K,13357B
potassium chloride + potassium bicarbonate + potassium carbonate,A12BA01,Chlorvescent,13486T
povidone-iodine,V07AY,Inadine,10847X
pralatrexate,L01BA05,Folotyn,11271F
pramipexole,N04BC05,SIMIPEX XR,14324X
prasugrel,B01AC22,Prasugrel Lupin,14796R
pravastatin,C10AA03,Pravachol,13432Y
praziquantel,P02BA01,"Praziquantel Tablets, USP 600 mg (Endo, USA)",15199Y
prazosin,C02CA01,APO-Prazosin,13367M
prednisolone,H02AB06,Predsolone,13888Y
prednisolone acetate + phenylephrine,S01BB02,Prednefrin Forte,11908R
prednisolone sodium phosphate,H02AB06,Redipred,13837G
prednisone,H02AB07,Panafcort,13944X
pregabalin,N02BF02,Lyzalon,2335X
primidone,N03AA03,Mysoline,1939C
probenecid,M04AB01,Pro-Cid,13942T
prochlorperazine,A04AD,Stemetil,2369Q
progesterone,G03DA04,Endometrin,10116K
progesterone (&) estradiol,G03FA04,Estrogel Pro,14720R
propantheline,G04BD,Pro-Banthine,13927B
propranolol,C07AA05,APO-Propranolol,13386M
propylene glycol,S01XA20,Systane Balance,14768G
propylthiouracil,H03BA02,PTU,13836F
"protein formula with amino acids, carbohydrates, vitamins and minerals without phenylalanine, and supplemented with docosahexaenoic acid",V06DX,PKU Easy,10658Y
"protein formula with arginine, vitamin c, e and zinc",V06DX,Cubitan,11401C
"protein formula with carbohydrate, fat, vitamins and minerals",V06D,Nutrini Peptisorb Energy,11939J
"protein formula with vitamins and minerals, and low in potassium, phosphorus, calcium, chloride and vitamin a",V06DX,Renastep,12191P
protein hydrolysate formula with medium chain triglycerides,V06DB,Aptamil Gold+ Pepti-Junior,8259Q
pseudoephedrine,R01BA02,Pharmacy Action Sinus & Nasal Decongestant Relief,4029C
psyllium husk powder,A06AC01,Metamucil Natural Granular,12596Y
pyrantel,P02CC01,Anthel 125,3047J
pyridostigmine,N07AA02,Mestinon,14392L
quetiapine,N05AH04,Seroquel XR,5458G
quinapril,C09AA06,ACQUIN,1968N
quinine,P01BC01,Quinate,1975Y
rabeprazole,A02BC04,Rabeprazole Sandoz,11670F
raloxifene,M05BX,Evista,13426P
raltegravir,J05AJ01,Isentress,10286J
raltitrexed,L01BA03,Tomudex,4610P
ramipril,C09AA05,Ramipril Sandoz,1316G
ramipril + felodipine,C09BB05,Triasyn 5.0/5.0,13534H
ranibizumab,S01LA04,Lucentis,10138N
ranitidine,A02BA02,Zantac 300,1977C
rasagiline,N04BD02,Pharmacor Rasagiline,14458Y
ravulizumab,L04AJ02,Ultomiris,12841W
reboxetine,N06AX18,Edronax,14474T
relugolix + estradiol + norethisterone acetate,H01CC54,Ryeqo,14795Q
repotrectinib,L01EX28,Augtyro,15280F
ribociclib,L01EF02,Kisqali,11385F
rifabutin,J04AB04,Mycobutin,6195C
rifampicin,J04AB02,Rimycin 300,12189M
rifaximin,A07AA11,Xifaxan,10001J
rilpivirine,J05AG05,Edurant,10298B
riluzole,N07XX02,Teglutik,11662T
riociguat,C02KX05,Adempas,10974N
ripretinib,L01EX19,Qinlock,12764T
risankizumab,L04AC18,Skyrizi,14111Q
risdiplam,M09AX10,Evrysdi,12606L
risedronate,M05BA07,Actonel,13360E
risperidone,N05AX08,APO-Risperidone,11869Q
ritonavir,J05AE03,Norvir,10273Q
rituximab,L01FA01,Riximyo,13082M
rivaroxaban,B01AF01,Rivaroxaban Dr.Reddy''s,11633G
rivastigmine,N06DA03,Exelon Patch 15,10538P
rizatriptan,N02CC04,RIXALT,10551H
romiplostim,B02BX04,Nplate,9696H
romosozumab,M05BX06,Evenity,12301K
rosuvastatin,C10AA07,Rosuvastatin Sandoz,13406N
rotigotine,N04BC09,Neupro,11140H
roxithromycin,J01FA06,Roxar 300,11993F
ruxolitinib,L01EJ01,Jakavi,10614P
sacituzumab govitecan,L01FX17,Trodelvy,12944G
sacubitril + valsartan,C09DX04,Entresto,11122J
safinamide,N04BD03,Xadago,11656L
salbutamol,R03CC02,Ventolin,1103C
salicylic acid + lactic acid,D11AF,Duofilm Solution,11959K
salmeterol,R03AC12,Serevent Accuhaler,14328D
sapropterin,A16AX07,Kuvan,10086W
saxagliptin,A10BH03,Onglyza,10128C
saxagliptin + dapagliflozin,A10BD21,Qtern 5/10,11286B
saxagliptin + metformin,A10BD10,Kombiglyze XR 2.5/1000,10048W
