drug_name,atc_code,brand_name,pbs_code
asenapine,N05AH05,Saphris,5140M
aspirin,B01AC06,Spren 100,10590J
aspirin + codeine,N02AJ07,Aspalgin 40,4286N
atazanavir,J05AE08,Reyataz,10321F
atazanavir + cobicistat,J05AE,Evotaz,10692R
atenolol,C07AB03,Atenolol GH,1081X
atezolizumab,L01FF05,Tecentriq,11277M
atomoxetine,N06BA09,APO-Atomoxetine,9092M
atorvastatin,C10AA05,Lipitor,13374X
atovaquone,P01AX06,Wellvone,8300W
atovaquone + proguanil,P01BB51,AtovaquoPro Lupin 250/100,9439T
atropine sulfate,A03BA01,Atropine Injection (Bridgewest),1089H
auranofin,M01CB03,Ridaura,1095P
avacopan,L04AJ05,Tavneos,14605Q
avanafil,G04BE10,Spedra,11837B
avatrombopag,B02BX08,Doptelet,13313Q
avelumab,L01FF04,Bavencio,11671G
axitinib,L01EK01,Inlyta,10539Q
azacitidine,L01BC07,Azacitidine Accord,12771E
azathioprine,L04AX01,APO-Azathioprine,2687K
azithromycin,J01FA10,Zithromax,4115N
baclofen,M03BX01,Sintetica Baclofen Intrathecal,11126N
balsalazide,A07EC04,Colazide,11351K
bandage absorbent wool,V07AY,Surepress 650948,4653X
bandage calico,V07AY,Handy 36361414,4717G
bandage compression,V07AY,Rosidal TCS 26484,11714M
bandage retention cohesive heavy,V07AY,Coban 1584,4660G
bandage retention cohesive light,V07AY,Handygauze Cohesive 8635,4662J
bandage retention cotton crepe,V07AY,Tensocrepe 36300501,4727T
bandage tubular,V07AY,Elastoplast 2225,4663K
bandage tubular finger,V07AY,Tubegauz 0501633,4798M
bandage tubular light weight,V07AY,Tubifast 2434,4671W
bandage tubular long stocking,V07AY,Tubigrip 1482,4674B
bandage tubular short stocking,V07AY,Tubigrip 1479,4661H
bandage zinc paste,V07AY,Steripaste 3610,4669R
baricitinib,L04AF02,Olumiant,11437Y
beclometasone,R03BA01,Qvar 50 Autohaler,14378R
beclometasone + formoterol,R03AK08,Fostair,12183F
beclometasone + formoterol + glycopyrronium,R03AL09,Trimbow,12468F
belzutifan,L01XX74,Welireg,14665W
bemotrizinol + diethylamino hydroxybenzoyl hexyl benzoate + homosalate + octocrylene + titanium dioxide,D02BA,Sunsense Comfort SPF 50+,13188D
bendamustine,L01AA09,Bendamustine Sandoz,10760H
benralizumab,R03DX10,Fasenra Pen,11994G
benzathine benzylpenicillin,J01CE08,Bicillin L-A,11723B
benzatropine,N04AC01,Benzatropine Injection,11249C
benzydamine,A01AD02,Difflam,1121B
benzylpenicillin,J01CE01,BenPen,1775K
betaine,A16AA06,Cystadane,10119N
betaine + polyaminopropyl biguanide,V07AY,Prontosan Wound Irrigation Solution,2525X
betamethasone acetate + betamethasone sodium phosphate,H02AB01,Celestone Chronodose,2694T
betamethasone dipropionate,D07AC01,Diprosone,10795E
betamethasone valerate,D07AC01,Betnovate 1/2,10794D
bevacizumab,L01FG01,Mvasi,12479T
bicalutamide,L02BB03,Cosudex,8094B
bicarbonate,G04BX,Sodibic,13933H
bicarbonate + citric acid + tartaric acid,G04BX,Trust Cystitis Relief,12179B
bictegravir + emtricitabine + tenofovir alafenamide,J05AR20,Biktarvy,11649D
bimatoprost,S01EE03,Lumigan PF,10046R
bimatoprost + timolol,S01EE,GANfort PF 0.3/5,10107Y
bimekizumab,L04AC21,Bimzelx,13644D
binimetinib,L01EE03,Mektovi,11948W
bisacodyl,A06AB02,Dulcolax,10578R
bisoprolol,C07AB07,Bisoprolol generichealth,13419G
bivalirudin,B01AE06,BIVALIRUDIN ARX,8844L
bleomycin,L01DC01,DBL Bleomycin Sulfate,4433H
blinatumomab,L01FX07,Blincyto,11115B
bortezomib,L01XG01,DBL Bortezomib,12219D
bosentan,C02KX01,Bosentan RBX,12134P
botulinum toxin type a,M03AX01,Botox,10993N
brentuximab vedotin,L01FX05,Adcetris,10166C
brexpiprazole,N05AX16,Rexulti,11184P
brigatinib,L01ED04,Alunbrig,11974F
brimonidine,S01EA05,Alphagan P 1.5,14496Y
brimonidine + timolol,S01EA,Combigan,14491Q
brinzolamide,S01EC04,Azopt,14321R
brinzolamide + brimonidine,S01EC54,Simbrinza 1%/0.2%,10536M
brinzolamide + timolol,S01EC54,Azarga,14495X
brivaracetam,N03AX23,Briviact,11327E
brolucizumab,S01LA06,Beovu,12667Q
bromazepam,N05BA08,Lexotan,4150K
bromocriptine,G02CB01,Parlodel,13979R
budesonide,A07EA06,Budenofalk,10034D
budesonide + formoterol,R03AK07,Symbicort Rapihaler 100/3,10015D
budesonide + glycopyrronium + formoterol,R03AL11,Breztri Aerosphere,12672Y
buprenorphine,N02AE01,Norspan,10746N
buprenorphine + naloxone,N07BC51,Suboxone Film 8/2,13321D
bupropion,N07BA,Zyban,8465M
burosumab,M05BX05,Crysvita,13136J
busulfan,L01AB01,Myleran,1128J
cabazitaxel,L01CD04,Cabazitaxel Juno,4376H
cabergoline,G02CB03,Dostinex,13901P
cabotegravir,J05AJ04,Vocabria,12939B
cabotegravir (&) rilpivirine,J05A,Cabenuva,12937X
cabozantinib,L01EX07,Cabometyx,11360X
cadexomer-iodine,V07AY,Iodosorb Powder 66051070,4931M
calcipotriol + betamethasone dipropionate,D05AX52,Enstilar,11091R
calcitonin salmon,H05BA01,Miacalcic 100,2997R
calcitriol,A11CC04,Rocaltrol,13457G
calcium,A12AA04,Cal-500,11726E
candesartan,C09CA06,Atacand,13436E
candesartan + hydrochlorothiazide,C09DA06,Atacand Plus 16/12.5,13391T
cannabidiol,N03AX24,Epidyolex,12467E
capecitabine,L01BC06,Capecitabine Sandoz,8362D
capivasertib,L01EX27,Truqap,15049C
captopril,C09AA01,Capoten,8760C
carbamazepine,N03AF01,Tegretol Liquid,14051M
carbamide peroxide,S02DC,Ear Clear for Ear Wax Removal,4176T
carbimazole,H03BB01,Neo-Mercazole,1153Q
"carbohydrate, fat, vitamins, minerals and trace elements",V06DX,Energivit,8369L
"carbohydrates, fat, vitamins, minerals, trace elements and supplemented with arachidonic acid and docosahexaenoic acid",V06DX,basecal 200,10039J
carbomer-980,S01XA20,Viscotears,14385D
carboplatin,L01XA02,Carboplatin Accord,4309T
carfilzomib,L01XG02,Kyprolis,11229B
cariprazine,N05AX15,Reagila,12619E
carmellose sodium,S01XA20,Evolve Carmellose,11852T
carmustine,L01AD01,Gliadel,8898H
carvedilol,C07AG02,Dilatrend 25,13387N
cefaclor,J01DC04,Ceclor CD,1169M
cefalexin,J01DB01,Keflex,10778G
cefazolin,J01DB04,Cephazolin Viatris,12115P
ceftriaxone,J01DD04,Ceftriaxone Viatris,11169W
cefuroxime,J01DC02,Zinnat,11227X
celecoxib,M01AH01,Celebrex,8439E
cemiplimab,L01FF06,Libtayo,13135H
ceritinib,L01ED02,Zykadia,11056X
certolizumab pegol,L04AB05,Cimzia,10137M
cetirizine,R06AE07,Alzene,4175R
cetrorelix,H01CC02,Cetrotide,9599F
cetuximab,L01FE01,Erbitux,10262D
chlorambucil,L01AA02,Leukeran,1163F
chloramphenicol,S01AA01,Chlorsig,11112W
chlorhexidine,A01AB03,Plaqacide,4161B
chlormethine,L01AA05,Ledaga,14658L
chlorpromazine,N05AA01,Largactil,1195X
chlortalidone,C03BA04,Hygroton 25,13500M
choriogonadotropin alfa,G03GA08,Ovidrel,13300B
ciclesonide,R03BA08,Alvesco 80,14312G
ciclosporin,S01XA18,Ikervis,12663L
cinacalcet,H05BX01,Pharmacor Cinacalcet,11885M
ciprofloxacin,J01MA02,C-Flox 250,1208N
cisplatin,L01XA01,Cisplatin Accord,4319H
citalopram,N06AB04,Celapram,14313H
citric acid + lauryl sulfoacetate sodium + sorbitol,A06AG20,Micolette,14534Y
citrulline,V06DX,Citrulline Easy,10736C
citrulline with carbohydrate,V06DX,Citrulline 1000,5481L
cladribine,L04AA40,Mavenclad,11603Q
clarithromycin,J01FA09,Klacid,8318T
clindamycin,J01FF01,APO-Clindamycin,3138E
clobetasol,D07AD01,Clobex,10080M
clomifene,G03GB02,Clomid,1211R
clomipramine,N06AA04,APO-Clomipramine,1561E
clonazepam,N03AE01,Rivotril,11520H
clonidine,C02AC01,Catapres,13548C
clopidogrel,B01AC04,Clovix 75,13365K
clopidogrel + aspirin,B01AC30,DuoPlidogrel,13427Q
clostridium botulinum type a toxin-haemagglutinin complex,M03AX01,Dysport,10981Y
clotrimazole,D01AC01,Pharmacy Action Anti-Fungal Cream,4004R
clozapine,N05AH02,Clopine 200,10288L
coal tar solution + phenol + precipitated sulfur,D05AA,Egopsoryl-TA,4505D
coal tar solution + salicylic acid,D11AC30,Ionil-T,4560B
cobimetinib,L01EE02,Cotellic,11074W
codeine,N02AA,Aspen Pharmacare Australia Pty Ltd,12054K
colchicine,M04AC01,Colcine,3410L
colestyramine,C10AC01,Questran Lite,14477Y
corifollitropin alfa,G03GA09,Elonva,5816D
cortisone,H02AB10,Cortate,1246N
crizotinib,L01ED01,Xalkori,10322G
cyclophosphamide,L01AA01,Cyclonex,1266P
cyproterone,G03HA01,Cyproterone Sandoz,1269T
cytarabine,L01BC01,Pfizer Australia Pty Ltd,4357H
dabigatran,B01AE07,Pradaxa,13489Y
dabrafenib,L01EC02,Tafinlar,10003L
dantrolene,M03CA01,Dantrium,1779P
dapagliflozin,A10BK01,Forxiga,10011X
dapagliflozin + metformin,A10BD15,Xigduo XR 5/1000,10510E
dapagliflozin + sitagliptin,A10BD29,Sidapvia 10/100,14638K
dapsone,D11AX,DAPSOMED,1272Y
daratumumab,L01FC01,Darzalex,12220E
darbepoetin alfa,B03XA02,Aranesp,5637Q
darolutamide,L02BB06,Nubeqa,12684N
darunavir,J05AE10,Prezista,10329P
darunavir + cobicistat,J05AR14,Prezcobix,10903W
darunavir + cobicistat + emtricitabine + tenofovir alafenamide,J05AR22,Symtuza,11955F
dasatinib,L01EA02,DASATINIB-TEVA,12842X
daunorubicin + cytarabine,L01XY01,Vyxeos,14661P
decitabine + cedazuridine,L01BC58,Inqovi 35/100,13081L
deferasirox,V03AC03,Deferasirox Juno,11231D
deferiprone,V03AC02,Ferriprox,11724C
degarelix,L02BX02,Firmagon 80mg,2784M
denosumab,M05BX04,Wyost,10061M
desferrioxamine,V03AC01,DBL Desferrioxamine Mesilate,5661Y
desmopressin,H01BA02,Minirin,13889B
desvenlafaxine,N06AX23,Desfax,10231L
deucravacitinib,L04AF07,Sotyktu,13649J
dexamethasone,S01BA01,Ozurdex,10943Y
dexamfetamine,N06BA02,Aspen Pharmacare Australia Pty Ltd,1165H
dextran-70 + hypromellose,S01XA20,Poly-Tears,14521G
diazepam,N05BA01,Diazepam Elixir,2669L
diclofenac,M01AB05,Fenac EC,1299J
dicloxacillin,J01CF01,Distaph 500,10790X
dienogest,G03DB08,Visanne,14667Y
difelikefalin,V03AX04,Korsuva,14106K
digoxin,C01AA05,Lanoxin,1322N
diltiazem,C08DB01,Cardizem CD,1312C
dimethyl fumarate,L04AX07,Tecfidera,2896K
diphenoxylate + atropine sulfate,A07DA01,Lofenoxal,2501P
diphtheria + tetanus vaccine,J07AM51,ADT Booster,3463G
diroximel fumarate,L04AX09,Vumerity,13059H
disopyramide,C01BA03,Rythmodan (UK),13280Y
docetaxel,L01CD02,Docetaxel Accord,10148D
docusate,S02DC,Waxsol,4199B
docusate + sennoside b,A06AB56,Co-Senna,10177P
dolutegravir,J05AJ03,Tivicay,10283F
dolutegravir + abacavir + lamivudine,J05AR13,Triumeq,10345L
dolutegravir + lamivudine,J05AR25,Dovato,11843H
dolutegravir + rilpivirine,J05AR21,Juluca,11540J
domperidone,A03FA03,APO-DOMPERIDONE,1347X
donepezil,N06DA02,Aricept,2479L
dornase alfa,R05CB13,Pulmozyme,5704F
dorzolamide,S01EC03,Trusopt,14524K
dorzolamide + timolol,S01EC,Cosdor,14386E
dostarlimab,L01FF07,Jemperli,14109N
dosulepin (dothiepin),N06AA16,Dosulepin Viatris,1357K
doxorubicin,L01DB01,Adriamycin,4361M
doxorubicin hydrochloride (as pegylated liposomal),L01DB01,Caelyx,4364Q
doxycycline,J01AA02,Doxylin 100,10176N
dressing activated charcoal malodorous wound,V07AY,Actisorb Plus MAP105,4681J
dressing alginate cavity wound,V07AY,Kaltostat 168117,1905G
dressing alginate superficial wound,V07AY,Kaltostat 168212,4683L
dressing alginate with manuka honey,V07AY,Algivon Plus CR4225,10849B
dressing alginate with silver cavity wound,V07AY,Melgisorb Ag 256605,12765W
dressing alginate with silver deep wound,V07AY,Melgisorb Ag 256055,12772F
dressing contact layer lipidocolloid,V07AY,UrgoTul Contact 100351,13022J
dressing contact layer lipidocolloid with sucrose octasulfate,V07AY,UrgoStart Contact-Interface-Tul 100380,13002H
dressing film,V07AY,Nexcare Tegaderm Transparent H1624,4686P
dressing film island,V07AY,Tegaderm Transparent Island 3582,4689T
dressing foam heavy exudate,V07AY,Mepilex XT 211100,12760N
dressing foam lipidocolloid with silicone heavy exudate,V07AY,UrgoTul Absorb Silicone Border 102203,13007N
dressing foam lipidocolloid with sucrose octasulfate heavy exudate,V07AY,UrgoStart Border 100481,13017D
dressing foam lipidocolloid with sucrose octasulfate moderate exudate,V07AY,UrgoStart Pad 100377,13003J
dressing foam moderate exudate,V07AY,Allevyn Adhesive 66000044,4590N
dressing foam with silicone,V07AY,Allevyn Life 66801067,10017F
dressing foam with silicone and silver,V07AY,Mepilex Ag,2439J
dressing foam with silicone heavy exudate,V07AY,Mepilex Border Flex 595211,12184G
dressing foam with silicone light exudate,V07AY,Mepilex Border Lite 281100,12774H
dressing foam with silicone moderate exudate,V07AY,Mepilex Border Flex Lite 581011,12777L
dressing foam with silver,V07AY,Allevyn Ag Adhesive 66800073,4252T
dressing gauze,V07AY,Curity 4112,4768Y
dressing gauze absorbent,V07AY,Handy 71117-05,4707R
dressing gauze paraffin,V07AY,Jelonet 7404,4759L
dressing gauze paraffin with chlorhexidine acetate,V07AY,Bactigras 7457,4845B
dressing gelling fibre,V07AY,Exufiber 709901,12181D
dressing gelling fibre lipidocolloid,V07AY,UrgoClean Pad 100372,13009Q
dressing hydroactive debridement,V07AY,HydroClean Plus 609606,12629Q
dressing hydroactive superficial wound high exudate semi-permeable absorbent foam,V07AY,Tielle MTL101E,4695D
dressing hydroactive superficial wound light exudate,V07AY,Allevyn Thin 66047576,4905E
dressing hydroactive superficial wound moderate exudate,V07AY,Cutinova Hydro 66047441,4885D
dressing hydrocolloid cavity wound,V07AY,DuoDERM Paste 187930,4896Q
dressing hydrocolloid superficial wound light exudate,V07AY,Comfeel Plus Transparent 3530,4888G
dressing hydrocolloid superficial wound moderate exudate,V07AY,Comfeel Plus Pressure Relieving 3350,4678F
dressing hydrofibre alternate to alginates,V07AY,Aquacel Foam Adhesive,10832D
dressing hydrofibre with silver,V07AY,Aquacel Ag 403708,10097K
dressing hydrogel,V07AY,Sorbact Gel Dressing S98137,11395R
dressing hydrogel amorphous,V07AY,SoloSite Gel 36361338,4599C
dressing hydrogel foam,V07AY,Sorbact Foam Dressing S98310,2533H
dressing hydrogel ribbon,V07AY,Sorbact Ribbon Gauze S98118,2512F
dressing hydrogel sheet,V07AY,Hydrosorb 900854,4806Y
dressing hydrophobic,V07AY,Sorbact Foam Gentle Border 98532,11392N
dressing lipidocolloid moderate exudate,V07AY,UrgoTul Lite Border 100357,13026N
dressing non adherent,V07AY,Mepitel 290510,4243H
dressing non-adherent absorbent,V07AY,Vliwasorb Pro 32643,11715N
dressing non-adherent with silicone,V07AY,Mepitel One 289500,12196X
dressing poly-absorbent fibre lipidocolloid with sucrose octasulfate heavy exudate,V07AY,UrgoStart Plus Border 100460,13013X
dressing poly-absorbent fibre lipidocolloid with sucrose octasulfate moderate exudate,V07AY,UrgoStart Plus Pad 100422,13012W
dressing tulle non-adherent primary wound contact layer paraffin,V07AY,Adaptic 2012,4909J
dressing with silver,V07AY,Atrauman Ag 499573,12591Q
drospirenone,G03AC10,Slinda,14791L
drospirenone + ethinylestradiol,G03AA12,Yaz,14709E
dry psyllium husk,A06AC01,Fybogel,4285M
dulaglutide,A10BJ05,Trulicity,11364D
duloxetine,N06AX21,APO-Duloxetine,14712H
dupilumab,D11AH05,Dupixent,12291X
durvalumab,L01FF03,Imfinzi,11911X
dutasteride,G04CB02,APO-Dutasteride,10095H
dutasteride + tamsulosin,G04CA52,Duodart 500ug/400ug,10102Q
eculizumab,L04AJ01,Soliris,10182X
edaravone,N07XX14,Radicava,14804E
eflornithine,L01XX79,Ifinwil,14880E
elafibranor,A05AX06,Iqirvo,15084X
eletriptan,N02CC06,Relpax,5290K
elexacaftor + tezacaftor + ivacaftor (&) ivacaftor,R07AX32,Trikafta,12936W
elotuzumab,L01FX08,Empliciti,12983H
elranatamab,L01FX32,Elrexfio,15293X
eltrombopag,B02BX05,Revolade,14107L
empagliflozin,A10BK03,Jardiance,10202Y
empagliflozin + linagliptin,A10BD19,Glyxambi,11269D
empagliflozin + metformin,A10BD20,Jardiamet 5 mg/500 mg,10626G
emtricitabine + rilpivirine + tenofovir alafenamide,J05AR19,Odefsey,11104K
emtricitabine + tenofovir alafenamide,J05AR17,Descovy,11099E
enalapril,C09AA02,APO-Enalapril,13369P
enalapril + hydrochlorothiazide,C09BA02,Renitec Plus 20/6,13439H
encorafenib,L01EC03,Braftovi,11937G
enfortumab vedotin,L01FX13,Padcev,13634N
enoxaparin sodium,B01AB05,Exarane Forte,13688K
entacapone,N04BX02,Comtan,14542J
entecavir,J05AF10,ENTECAVIR RBX,10279B
entrectinib,L01EX14,Rozlytrek,12092K
enzalutamide,L02BB04,Xtandi,10174L
epcoritamab,L01FX27,Epkinly,14792M
epirubicin,L01DB03,Epirubicin Accord,4375G
eplerenone,C03DA04,Inpler,13379E
epoetin alfa,B03XA01,"Eprex 20,000",5713Q
epoetin beta,B03XA01,NeoRecormon,5724G
epoetin lambda,B03XA01,Novicrit,9587N
epoprostenol,C02KX,Veletri,10111E
eprosartan,C09CA02,Teveten,13861M
eprosartan + hydrochlorothiazide,C09DA02,Teveten Plus 600/12.5,14337N
eptinezumab,N02CD05,Vyepti,13342F
eribulin,L01XX41,Halaven,10140Q
erlotinib,L01EB02,Erlotinib Sandoz,10014C
erythromycin,J01FA01,Mayne Pharma Erythromycin,10780J
erythromycin ethylsuccinate,J01FA01,E-Mycin 200,2424N
escitalopram,N06AB10,Lexapro,10181W
esketamine,N06AX27,Spravato,14786F
esomeprazole,A02BC05,Noxicid Caps,10295W
esomeprazole (&) clarithromycin (&) amoxicillin,A02BD06,ESOMEPRAZOLE SANDOZ Hp7,10759G
essential amino acids formula,V06DX,Essential Amino Acid Mix,9329B
essential amino acids formula with minerals and vitamin c,V06DX,Dialamine,2027Q
essential amino acids formula with vitamins and minerals,V06DX,EAA Supplement,13759E
estetrol + drospirenone,G03AA18,Nextstellis,15054H
estradiol,G03CA03,Vagifem Low,10203B
estradiol (&) estradiol + dydrogesterone,G03FB08,Femoston 1/10,10146B
estradiol (&) estradiol + norethisterone acetate,G03FB05,Estalis sequi 50/140,13932G
estradiol + norethisterone acetate,G03FA01,Estalis continuous 50/140,13902Q
estriol,G03CA04,Ovestin,13926Y
etanercept,L04AB01,Enbrel,11197H
ethosuximide,N03AD01,ZARONTIN,11703Y
etonogestrel,G03AC08,Implanon NXT,8487Q
etonogestrel + ethinylestradiol,G02BB01,NuvaRing,15074J
etoposide,L01CB01,Vepesid,1389D
etrasimod,L04AE05,Velsipity,14600K
etravirine,J05AG04,Intelence,10301E
everolimus,L01EG02,Afinitor,10131F
evolocumab,C10AX13,Repatha,10958R
exemestane,L02BG06,Aromasin,10103R
ezetimibe,C10AX09,Zient 10mg,13440J
ezetimibe (&) rosuvastatin,C10BA06,Rosuzet Composite Pack,10201X
ezetimibe + atorvastatin,C10BA05,Atozet,10376D
ezetimibe + simvastatin,C10BA02,APO-Ezetimibe/Simvastatin 10/10,13385L
famciclovir,J05AB09,Famvir,2274Q
famotidine,A02BA03,Ausfam 20,15047Y
faricimab,S01LA09,Vabysmo,13177M
febuxostat,M04AA03,Adenuric,10445R
fedratinib,L01EJ02,Inrebic,15278D
felodipine,C08CA02,Felodil XR 2.5,13377C
fenfluramine,N03AX26,Fintepla,14833Q
fenofibrate,C10AB05,FENOFIBRATE RBX,13469X
fentanyl,N02AB03,Abstral,10600X
ferric carboxymaltose,B03AC,Ferinject,10104T
ferric derisomaltose,B03AC,Monofer,11615H
ferrous fumarate,B03AA02,Ferro-tab,10594N
ferrous fumarate + folic acid,B03AD02,Ferro-f-tab,10579T
ferrous sulfate,B03AA07,Ferro-Liquid,8815Y
fexofenadine,R06AX26,Telfast,4237B
filgrastim,L03AA02,Zarzio,2733W
finasteride,G04CB01,Finpro,14191X
finerenone,C03DA05,Kerendia,13316W
fingolimod,L04AE01,Gilenya,11818B
flecainide,C01BC04,Flecainide Sandoz,1088G
flucloxacillin,J01CF05,Flopen Viatris,10788T
fluconazole,J02AC01,Diflucan,1471K
fludarabine,L01BB05,"Fludarabine Phosphate Injection, USP 50 mg/2 mL (Areva, USA)",15144C
fludrocortisone,H02AA02,FLUDROCORTISONE MEDSURGE,1433K
flunitrazepam,N05CD03,Hypnodorm,4216X
fluorouracil,L01BC02,TOLAK 4% ONCE DAILY,13758D
fluoxetine,N06AB03,FLUOTEX,1434L
flupentixol decanoate,N05AF01,Fluanxol Depot,2255Q
flutamide,L02BB01,Flutamin,1417N
fluticasone furoate,R03BA09,Arnuity Ellipta,11719T
fluticasone furoate + umeclidinium + vilanterol,R03AL08,Trelegy Ellipta 100/62.5/25,11379X
fluticasone furoate + vilanterol,R03AK10,Breo Ellipta 100/25,11124L
fluticasone propionate,R03BA05,Flixotide,14347D
fluticasone propionate + formoterol,R03AK11,flutiform 125/5,10007Q
fluticasone propionate + salmeterol,R03AK06,Seretide MDI 250/25,14311F
fluvoxamine,N06AB08,Luvox,14314J
folic acid,B03BB01,Megafol 5,10573L
folinic acid,V03AF03,Leucovorin Calcium (Pfizer Australia Pty Ltd),1610R
follitropin alfa,G03GA05,Bemfola,10861P
follitropin alfa + lutropin alfa,G03GA30,Pergoveris,11667C
follitropin beta,G03GA06,Puregon 300 IU/0.36 mL,6335K
follitropin delta,G03GA10,Rekovelle,11414R
fondaparinux,B01AX05,Arixtra,8775W
formoterol,R03AC13,Foradile,14419X
fosaprepitant,A04AD12,FOSAPREPITANT-AFT,11103J
fosinopril,C09AA09,Monace 10,1182F
foslevodopa + foscarbidopa,N04BA07,Vyalev,14876Y
fosnetupitant + palonosetron,A04AA,Akynzeo IV,13640X
framycetin sulfate,S03AA,Soframycin,1440T
framycetin sulfate + gramicidin + dexamethasone,S02CA06,Otodex,2781J
fremanezumab,N02CD03,Ajovy,12603H
fruquintinib,L01EK04,Fruzaqla,15336E
fulvestrant,L02BA03,Fulvestrant Sandoz,12300J
furosemide,C03CA01,Frusemix-M,12222G
fusidate,J01XC01,Fucidin,10782L
gabapentin,N03AX,Neurontin,1834M
galantamine,N06DA04,Reminyl,2463P
galcanezumab,N02CD02,Emgality,12469G
ganciclovir,J05AB06,Cymevene,10328N
ganirelix,H01CC01,GANIRELIX SUN,9583J
garadacimab,B06AC07,Andembry,15295B
gauze and cotton tissue combine roll,V07AY,JJ 12010,4761N
gefitinib,L01EB01,Cipla Gefitinib,11264W
gemcitabine,L01BC05,GEMCITABINE EUGIA,4439P
gemfibrozil,C10AB04,Ausgem,13618R
gemtuzumab ozogamicin,L01FX02,Mylotarg,12844B
gilteritinib,L01EX13,Xospata,13093D
givosiran,A16AX16,Givlaari,15289Q
glatiramer acetate,L03AX13,Copaxone,10416F
glecaprevir + pibrentasvir,J05AP57,Maviret,11332K
glibenclamide,A10BB01,Daonil,13868X
gliclazide,A10BB09,APX-Gliclazide,13896J
glimepiride,A10BB12,Glimepiride Sandoz,13848W
glipizide,A10BB07,Melizide,14019W
glofitamab,L01FX28,Columvi,15227K
glucagon hydrochloride,H04AA01,GlucaGen Hypokit,1449G
glucose and ketone indicator urine,V04B,Keto-Diastix,3107M
glycerol,A06AX01,Petrus Pharmaceuticals Pty Ltd,10586E
glycerol + white soft paraffin,D02AX,QV Skin Lotion,11712K
glyceryl trinitrate,C01DA02,Transiderm-Nitro 25,13490B
glycine with carbohydrate,V06DX,Glycine500,10195N
"glycomacropeptide and essential amino acid formula with vitamins, minerals, and low in tyrosine and phenylalanine",V06DX,TYR Sphere20,11832R
glycomacropeptide and essential amino acids with vitamins and minerals,V06DX,PKU Glytactin RTD 15,10332T
glycomacropeptide formula with amino acids and low phenylalanine,V06DX,PKU GMPro MIX-IN,14650C
"glycomacropeptide formula with amino acids, vitamins, minerals, trace elements, carbohydrate, fat and low phenylalanine",V06DX,PKU GMPro ULTRA,14644R
glycomacropeptide formula with docosahexaenoic acid and low phenylalanine,V06DX,PKU Sphere20,11071Q
glycopyrronium,R03BB06,seebri breezhaler,10059K
golimumab,L04AB06,Simponi,11361Y
goserelin,L02AE03,Zoladex Implant,1454M
goserelin (&) bicalutamide,L02AE,ZolaCos CP 3.6/50,9064C
granisetron,A04AA02,Kytril,5898K
griseofulvin,D01BA01,Grisovin,1460W
guanfacine,N06B,Intuniv,11440D
guselkumab,L04AC16,Tremfya,11614G
haloperidol,N05AD01,HALOPERIDOL MEDSURGE,12519X
haloperidol decanoate,N05AD01,Haldol decanoate,2765M
heparin,B01AB01,DBL Heparin Sodium,1466E
"high fat formula with vitamins, minerals and trace elements and low in protein and carbohydrate",V06DX,KetoCal 4:1 LQ,10185C
honey bee venom,V01AA07,Albey Bee Venom,2886X
human chorionic gonadotrophin,G03GA01,Brevactid 1500 I.E,12879W
human menopausal gonadotrophin,G03GA02,Menopur 600,2036E
hyaluronate sodium,S01XA20,Hylo-Fresh,14354L
hydrochlorothiazide,C03AA03,Dithiazide,13409R
hydrocortisone,H02AB09,Hydrocortisone Viatris 4,13863P
hydrocortisone acetate,D07AA02,Cortic-DS 1%,10831C
hydrocortisone sodium succinate,H02AB09,Solu-Cortef,1501B
hydromorphone,N02AA03,Dilaudid,12010D
hydroxocobalamin,B03BA03,Vita-B12,10577Q
hydroxycarbamide,L01XX05,HYDROXYCARBAMIDE MEDSURGE,3093T
hydroxychloroquine,M01CA,Hequinel,1512N
hydroxyethyl starch 130/0.4 + sodium chloride,B05AA07,Voluven 6%,9487H
hyoscine butylbromide,A03BB01,Buscopan,3473T
hypromellose,S01XA20,Revive Tears,11625W
ibandronate,M05BA06,Bondronat,9357L
ibrutinib,L01EL01,Imbruvica,11213E
ibuprofen,M01AE01,APO-Ibuprofen 400,3190X
icatibant,B06AC02,Cipla Icatibant,1976B
ichthammol,D11AX,Egoderm Cream,4281H
ichthammol + zinc oxide,D11AX,Egoderm Ointment,4280G
icosapent ethyl,C10AX06,Vazkepa,14617H
idarubicin,L01DB06,Zavedos Solution,4440Q
idelalisib,L01EM01,Zydelig,11162L
ifosfamide,L01AA06,Holoxan,4448D
iloprost,C02KX,Ventavis,5751Q
imatinib,L01EA01,IMATINIB-DRLA,10915L
imipramine,N06AA02,Imipramine (Leading),12113M
imiquimod,D11AX,Aldara Pump,10106X
inclisiran,C10AX16,Leqvio,14087K
incobotulinumtoxina,M03AX01,Xeomin,10994P
indacaterol,R03AC18,Onbrez,14334K
indacaterol + glycopyrronium,R03AL04,ultibro breezhaler 110/50,10156M
indacaterol + glycopyrronium + mometasone,R03AL12,Enerzair Breezhaler,12295D
indacaterol + mometasone,R03AK14,Atectura Breezhaler,12269R
indapamide,C03BA11,Dapa-Tabs,13378D
indometacin,M01AB01,Arthrexin,2454E
infliximab,L04AB02,Inflectra,10057H
inotuzumab ozogamicin,L01FB01,Besponsa,11668D
insulin aspart,A10AB05,NovoRapid FlexPen,12254Y
insulin aspart + insulin aspart protamine,A10AD05,NovoMix 30 FlexPen,12238D
